instance_name,seed_1573,seed_7839,seed_16969,seed_17168,seed_25814,seed_26491,seed_27714,seed_31181,seed_32093,seed_54209,seed_55589,seed_60149,seed_61472,seed_62154,seed_62709,seed_64163,seed_89190,seed_90888,seed_93148,seed_97402
mt10c1,984,979,962,980,976,979,967,970,966,978,967,963,952,973,967,966,935,965,972,952
mt10cc,923,948,940,924,941,948,949,948,951,937,949,954,937,934,930,950,953,940,948,941
mt10x,984,967,968,963,970,967,965,971,974,979,965,979,974,962,976,961,955,968,963,968
mt10xx,961,955,961,963,961,959,973,964,983,951,963,959,957,971,961,967,961,964,959,964
mt10xxx,960,961,955,983,969,951,962,953,965,951,953,963,962,953,963,961,961,954,974,963
mt10xy,951,947,936,938,947,948,940,942,953,957,947,934,951,958,965,939,943,944,955,951
mt10xyz,880,898,898,915,915,915,914,903,911,902,902,909,898,912,907,906,911,907,895,899
setb4c9,975,969,998,996,977,975,967,998,964,997,977,997,987,985,968,991,968,985,981,998
setb4cc,970,965,967,960,967,967,945,957,962,967,955,955,967,956,944,971,966,955,944,961
setb4x,990,998,988,984,984,977,967,992,976,967,982,967,968,967,996,979,985,979,993,980
setb4xx,966,985,984,978,967,968,963,983,968,972,959,970,979,974,990,965,967,990,971,974
setb4xxx,966,984,970,967,988,977,992,990,990,967,978,969,990,965,940,967,967,956,968,976
setb4xy,950,962,947,941,954,971,956,941,941,946,947,955,947,947,938,946,951,954,951,954
setb4xyz,935,941,940,953,943,954,941,947,935,945,941,945,938,946,938,946,938,945,946,946
