instance_name,seed_55589,seed_97402,seed_89190,seed_25814,seed_16969,seed_31181,seed_1573,seed_64163,seed_32093,seed_62154,seed_61472,seed_90888,seed_93148,seed_60149,seed_54209,seed_7839,seed_27714,seed_17168,seed_62709,seed_26491
mt10c1,958,1015,975,950,971,973,946,970,987,1007,1009,967,982,951,964,963,998,997,975,972
mt10cc,944,947,957,948,946,976,942,943,950,973,946,919,948,920,956,931,919,941,941,977
mt10x,967,997,965,953,1012,1004,971,997,960,978,978,967,971,969,970,981,983,958,983,967
mt10xx,976,967,971,941,971,982,989,972,951,970,1020,967,951,975,974,964,1001,964,976,997
mt10xxx,964,967,937,976,967,972,982,971,992,964,975,967,967,944,971,989,963,970,971,971
mt10xy,967,985,970,951,951,971,947,970,975,919,967,974,942,946,955,971,930,943,944,974
mt10xyz,887,887,883,925,901,893,930,905,900,916,888,897,890,911,922,899,908,886,911,880
setb4c9,1002,981,987,1017,991,1006,991,997,1018,978,967,1030,1008,1036,974,988,1013,1022,998,1000
setb4cc,976,953,972,962,1018,990,960,992,974,986,978,973,973,983,1001,1021,1009,974,981,966
setb4x,990,1000,1006,1007,981,1022,996,1041,999,1049,998,1003,1032,1014,989,1036,976,1020,1030,1012
setb4xx,999,1044,999,997,1002,1043,991,1021,1015,1022,1013,1021,999,1020,1003,964,983,1020,1000,1007
setb4xxx,1028,1041,1020,980,1025,1022,1018,1009,1025,986,978,1011,1006,1021,985,954,995,982,1030,1019
setb4xy,970,978,982,1005,948,993,946,970,1017,987,966,987,951,1012,941,1006,1012,984,1000,963
setb4xyz,936,978,963,976,950,966,950,993,948,988,964,971,994,961,944,978,971,929,970,980
seti5c12,1276,1265,1236,1239,1253,1262,1290,1266,1267,1264,1275,1288,1272,1236,1299,1317,1301,1265,1234,1294
seti5cc,1230,1261,1260,1220,1230,1244,1268,1263,1235,1242,1244,1272,1249,1229,1263,1245,1220,1244,1245,1233
seti5x,1275,1319,1282,1287,1296,1288,1323,1297,1314,1296,1315,1308,1271,1289,1280,1307,1250,1294,1299,1263
seti5xx,1287,1293,1319,1296,1307,1271,1293,1280,1270,1303,1299,1273,1311,1294,1297,1302,1300,1328,1268,1274
seti5xxx,1280,1280,1264,1313,1269,1273,1307,1349,1350,1305,1271,1310,1291,1314,1278,1312,1274,1256,1319,1301
seti5xy,1230,1261,1260,1220,1230,1244,1268,1263,1235,1242,1244,1272,1249,1229,1263,1245,1220,1244,1245,1233
seti5xyz,1233,1217,1207,1205,1211,1216,1216,1241,1225,1204,1221,1225,1230,1235,1253,1207,1211,1197,1234,1240
