instance_name,seed_1573,seed_7839,seed_16969,seed_17168,seed_25814,seed_26491,seed_27714,seed_31181,seed_32093,seed_54209,seed_55589,seed_60149,seed_61472,seed_62154,seed_62709,seed_64163,seed_89190,seed_90888,seed_93148,seed_97402
mt10c1,974,975,977,988,976,981,940,949,976,978,979,1015,982,970,993,984,974,972,987,972
mt10cc,945,966,934,942,947,934,963,942,955,959,962,948,940,940,958,951,957,932,943,934
mt10x,970,960,977,967,977,967,955,971,974,985,970,977,970,1001,986,974,977,964,978,997
mt10xx,976,991,970,992,972,979,978,965,983,984,966,967,965,951,954,974,990,1005,976,956
mt10xxx,954,966,961,951,955,981,966,963,974,974,963,962,961,970,983,972,1001,971,970,969
mt10xy,956,951,958,959,923,971,959,959,980,951,956,943,972,950,951,958,951,953,951,944
mt10xyz,916,915,905,915,899,905,890,913,915,911,921,909,902,917,914,895,915,895,916,915
setb4c9,1000,998,998,984,996,998,982,998,998,974,982,982,998,998,997,985,998,998,992,998
setb4cc,971,978,967,950,955,967,961,958,966,956,966,967,968,957,957,959,957,958,972,964
setb4x,982,1002,998,990,1000,967,998,997,986,969,970,978,994,998,1002,991,998,978,982,996
setb4xx,967,992,1000,971,967,976,998,996,967,998,990,990,982,963,976,999,975,998,976,985
setb4xxx,993,990,967,998,990,967,967,978,967,967,998,998,990,990,990,991,974,979,967,1020
setb4xy,961,947,961,954,946,954,958,954,992,954,941,947,971,953,961,956,949,951,965,998
setb4xyz,946,946,947,946,944,944,947,946,936,941,949,946,938,946,946,939,957,946,939,939
