instance_name,seed_55589,seed_97402,seed_89190,seed_25814,seed_16969,seed_31181,seed_1573,seed_64163,seed_32093,seed_62154,seed_61472,seed_90888,seed_93148,seed_60149,seed_54209,seed_7839,seed_27714,seed_17168,seed_62709,seed_26491
mt10c1,1003,1010,956,985,982,1019,969,982,965,984,985,1008,958,1004,1005,1013,989,976,997,1077
mt10cc,974,954,953,953,939,967,1003,967,957,961,971,982,943,997,951,989,958,949,983,985
mt10x,1041,967,1001,982,991,978,1040,942,983,943,1004,950,1025,967,1020,955,1041,991,978,1054
mt10xx,953,1005,1003,997,1018,1011,1006,968,1006,944,981,996,1012,1018,1006,992,1025,1011,984,955
mt10xxx,1021,982,981,1011,945,988,1001,965,970,974,970,966,1004,987,1009,1021,973,1015,977,981
mt10xy,993,971,956,1022,995,998,967,971,971,952,955,952,1008,973,982,958,983,968,951,1029
mt10xyz,937,940,921,928,911,902,921,896,928,918,928,894,931,910,907,932,907,939,944,903
setb4c9,1020,1001,1042,1030,1021,1044,1059,1051,1036,1015,1014,1006,1014,1018,985,979,1029,1034,1013,1081
setb4cc,1003,995,1030,998,1006,1009,1022,1013,1005,1033,987,1046,1019,998,1000,989,1004,991,998,997
setb4x,1011,1041,1026,1006,1044,1004,1015,1022,1017,1039,1026,1020,1024,1026,973,1048,1041,1026,1014,1022
setb4xx,1020,1027,1057,1031,1017,995,1002,1028,1019,1042,1039,1037,1037,999,1041,1043,1015,1074,1007,1001
setb4xxx,1026,1021,1040,1043,1011,983,1002,1045,990,1038,1028,1039,1010,1020,1018,981,1027,1007,1051,1022
setb4xy,1015,986,1006,1011,1040,995,1001,1002,1012,982,1010,1002,991,994,988,1024,996,1007,1004,1053
setb4xyz,984,966,996,980,988,1011,985,1017,955,1012,1022,987,1004,1016,991,1011,999,999,1040,1011
