instance_name,seed_1573,seed_7839,seed_16969,seed_17168,seed_25814,seed_26491,seed_27714,seed_31181,seed_32093,seed_54209,seed_55589,seed_60149,seed_61472,seed_62154,seed_62709,seed_64163,seed_89190,seed_90888,seed_93148,seed_97402
mt10c1,1015,998,1006,1024,985,989,998,1031,1023,1012,994,1014,1004,1027,1036,985,987,994,1013,989
mt10cc,978,967,962,981,962,968,972,978,959,961,969,993,955,979,975,970,965,954,972,966
mt10x,972,1036,1014,997,990,1005,997,984,985,980,1017,987,998,973,973,1028,1020,975,990,1029
mt10xx,964,985,997,1026,988,1007,981,1015,1013,990,1014,1001,1007,1013,995,1007,1015,1001,979,990
mt10xxx,1009,1019,1045,975,995,1000,987,991,992,983,987,1028,983,990,995,1027,992,1028,986,1010
mt10xy,988,971,972,1003,987,954,978,965,969,956,984,1012,978,962,944,996,984,992,985,992
mt10xyz,927,915,922,939,925,939,927,933,911,915,930,915,919,928,928,920,911,918,958,912
setb4c9,985,998,994,998,1002,1014,1002,998,998,998,1010,998,998,998,1002,1000,998,1008,1009,998
setb4cc,970,994,971,951,962,974,986,986,970,973,971,991,984,972,995,986,988,985,972,978
setb4x,999,1009,1003,1003,994,1006,977,969,995,1006,992,991,998,990,989,1011,1033,1014,999,1006
setb4xx,990,1021,990,1007,984,998,983,982,1020,970,1000,991,1008,1006,1000,1021,1016,998,986,1011
setb4xxx,994,977,963,998,985,970,996,1034,993,1013,963,996,998,1014,998,1011,998,976,991,996
setb4xy,1005,962,988,990,952,981,961,974,970,973,973,959,967,955,976,981,957,991,998,977
setb4xyz,961,979,991,960,951,946,964,950,952,947,963,977,947,960,964,961,988,966,996,978
