instance_name,seed_1573,seed_7839,seed_16969,seed_17168,seed_25814,seed_26491,seed_27714,seed_31181,seed_32093,seed_54209,seed_55589,seed_60149,seed_61472,seed_62154,seed_62709,seed_64163,seed_89190,seed_90888,seed_93148,seed_97402
mt10c1,3.0838,3.0578,3.2643,3.1243,3.0348,3.0403,3.2733,3.0348,3.2923,3.0738,3.0648,3.2233,3.2893,3.0408,3.2748,3.2623,3.0768,3.0648,3.2533,3.0178
mt10cc,2.9911,3.0365,3.0331,3.2576,3.3068,3.2666,3.2181,3.0471,3.0231,3.0041,3.3148,3.0761,3.0631,3.0181,3.2161,3.0691,3.2848,3.0151,3.0741,3.2638
mt10x,3.2416,2.9901,3.2656,3.0631,3.2066,3.1466,3.0701,3.2666,3.0305,3.0501,3.2226,3.0341,3.0275,2.9955,3.0331,3.2606,3.2516,3.0075,2.9925,3.2066
mt10xx,3.2591,3.0161,3.2991,3.0136,3.2731,3.0236,3.0651,3.2301,3.2461,3.0451,3.1101,3.0151,3.2616,3.2766,3.0316,3.2471,3.2251,3.2656,3.0451,3.2446
mt10xxx,3.2976,3.2551,3.0631,3.0241,3.2621,3.0411,3.0131,3.3736,3.3316,3.2711,3.0521,3.2431,3.2486,3.2676,3.0381,3.3256,3.0811,3.2726,3.2566,3.0881
mt10xy,3.0231,3.2311,3.0731,3.2516,3.0411,3.2846,3.2566,3.0801,3.0711,3.2101,3.0061,3.2481,3.2451,3.2131,3.2456,3.2646,3.0251,3.2341,3.2806,3.0821
mt10xyz,3.0371,3.2586,3.0461,3.2606,3.0156,3.2451,3.2286,3.1041,3.0526,3.2216,3.0246,3.2446,3.0306,3.0846,3.2316,3.0761,3.0436,3.0521,3.2141,3.0726
setb4c9,6.8938,6.9698,6.8328,7.3643,7.3717,7.4058,7.3073,6.8288,6.8593,6.9598,7.4347,6.9178,6.8678,6.8453,7.3443,6.8473,7.3567,6.9328,6.9858,7.3467
setb4cc,7.3732,6.9596,7.3192,7.0291,7.3898,7.3011,6.8716,7.4062,6.8686,6.8451,7.3718,7.0161,6.8476,6.8606,6.9271,7.2242,7.3748,6.9046,6.8886,7.2863
setb4x,7.4562,6.9333,7.3851,6.9013,7.2856,6.9153,6.8423,7.3701,7.3018,6.9403,7.3476,6.8943,7.3963,7.0063,6.9553,7.4352,7.3636,7.3843,6.8988,7.3336
setb4xx,7.3943,7.3736,7.4483,6.8921,7.4018,6.9186,6.8836,7.3528,7.4523,7.3966,6.9923,7.3676,7.4568,7.3853,6.9996,7.3713,7.0293,7.4438,6.9576,6.9663
setb4xxx,6.9736,7.4606,6.9591,6.9502,6.9536,7.4844,7.0726,7.0016,7.4596,7.4656,7.0096,7.5551,7.4011,7.3886,7.0107,7.5226,7.0156,7.3601,7.5196,6.9026
setb4xy,6.9423,7.3571,7.3529,7.4548,6.8913,7.5018,7.3672,7.4099,6.9844,7.3416,6.8997,7.2991,6.9754,6.8764,7.3737,7.0154,6.8778,7.4739,7.3816,6.8702
setb4xyz,6.6433,5.5122,6.6868,4.9315,6.6468,4.9251,4.98,6.5053,6.5445,6.3335,6.5953,6.3825,6.3727,6.5195,4.9186,6.4868,6.6038,6.4595,6.5085,6.6088
