Instance,ABC_Mean,GA_Mean,p-value (GA),vs_GA,DAO_Mean,p-value (DAO),vs_DAO
mt10c1,3.142375,7.687105,1.9073486328125e-06,+,12.304948925971985,1.9073486328125e-06,+
mt10cc,3.12896,7.885695000000001,1.9073486328125e-06,+,12.306238925457,1.9073486328125e-06,+
mt10x,3.118125,7.748579999999999,1.9073486328125e-06,+,12.18478307723999,1.9073486328125e-06,+
mt10xx,3.1596749999999996,7.664575000000001,1.9073486328125e-06,+,12.250477039813996,1.9073486328125e-06,+
mt10xxx,3.1902999999999997,7.712345000000001,1.9073486328125e-06,+,12.474479341506958,1.9073486328125e-06,+
mt10xy,3.1683499999999998,7.790909999999999,1.9073486328125e-06,+,12.296240091323853,1.9073486328125e-06,+
mt10xyz,3.127225,7.571624999999999,1.9073486328125e-06,+,12.397635316848755,1.9073486328125e-06,+
setb4c9,7.083630000000001,11.71495,1.9073486328125e-06,+,19.46643497943878,1.9073486328125e-06,+
setb4cc,7.103260000000001,11.722175,1.9073486328125e-06,+,19.453198933601378,1.9073486328125e-06,+
setb4x,7.16733,11.85183,1.9073486328125e-06,+,19.416563320159913,1.9073486328125e-06,+
setb4xx,7.224195,11.922785000000001,1.9073486328125e-06,+,19.50898931026459,1.9073486328125e-06,+
setb4xxx,7.223325,11.958825000000001,1.9073486328125e-06,+,19.556496965885163,1.9073486328125e-06,+
setb4xy,7.1823250000000005,11.66528,1.9073486328125e-06,+,19.748900735378264,1.9073486328125e-06,+
setb4xyz,6.158250000000001,10.90616,1.9073486328125e-06,+,19.7219402551651,1.9073486328125e-06,+
