instance_name,seed_1573,seed_7839,seed_16969,seed_17168,seed_25814,seed_26491,seed_27714,seed_31181,seed_32093,seed_54209,seed_55589,seed_60149,seed_61472,seed_62154,seed_62709,seed_64163,seed_89190,seed_90888,seed_93148,seed_97402
mt10c1,23.1417,23.1171,23.2648,23.4746,23.5002,23.455,23.3604,23.3985,23.1917,23.1053,23.0353,23.5687,23.9145,23.5187,23.5487,23.4771,23.2588,23.3269,23.2637,23.0997
mt10cc,23.7796,22.9474,23.725,23.244,23.2371,22.9565,22.8794,23.3042,23.4805,23.0123,23.7671,23.2453,23.2877,23.1179,23.2425,24.1076,23.6709,23.481,23.2507,23.3033
mt10x,23.1498,23.5259,23.2771,23.2996,22.7611,23.6652,23.242,23.2095,23.2501,23.3993,23.2344,23.5738,23.3422,23.2616,23.2851,22.8022,22.9695,23.3973,23.235,22.9625
mt10xx,23.8906,23.3224,23.0368,23.4202,23.9901,23.4251,24.2052,23.3085,23.3457,23.4166,23.6947,23.2892,23.2691,23.07,23.3782,23.3708,23.7839,23.3704,23.3052,23.9698
mt10xxx,23.5605,23.475,23.7999,23.2239,23.6381,23.4066,23.9091,24.3307,23.6822,23.9019,24.2312,24.0072,23.5165,23.8146,23.2368,24.0098,23.5565,23.7698,23.6406,23.4833
mt10xy,23.1378,23.9594,23.4501,23.3105,23.419,23.201,23.3351,23.2742,23.5074,23.0351,23.3114,23.4653,23.4439,23.3231,24.001,23.3612,23.2663,23.4809,23.4914,23.0499
mt10xyz,23.1442,23.2023,23.4562,23.2709,23.4402,23.3536,23.3045,23.3296,23.1229,23.8611,23.3121,23.2259,23.1424,23.0031,23.554,23.2173,23.6807,23.1979,23.2344,23.5031
setb4c9,35.6298,36.0318,35.8922,35.117,35.5662,37.0219,37.3921,35.6017,36.6948,35.9367,35.4157,35.7228,35.3502,35.6316,35.1262,35.5948,35.039,35.5987,36.1571,35.8922
setb4cc,35.4185,36.168,35.4676,35.5964,35.4911,35.8369,35.6826,35.2928,35.419,35.6772,35.3648,35.7174,37.2784,36.4244,35.7542,35.6233,35.2802,37.6328,35.5786,35.3723
setb4x,36.0068,34.8114,36.1034,35.5779,35.2652,35.2844,35.0303,35.7674,36.2303,35.1255,35.8464,35.1431,36.0608,35.9402,35.4517,35.7233,35.314,35.4991,35.1085,35.6801
setb4xx,36.1234,36.5154,35.9282,36.5687,36.378,36.2577,36.0368,35.9016,35.6983,35.9274,35.6721,35.8658,36.1469,35.4979,35.857,35.9102,35.6439,36.1499,35.6097,36.0356
setb4xxx,35.383,38.0337,35.372,36.1622,37.3638,35.9563,37.8418,35.5953,35.7408,36.0168,35.9346,36.3915,35.8473,35.7456,35.7595,35.3218,35.6265,36.2596,36.197,36.7501
setb4xy,36.749,36.1543,36.101,34.1306,35.8702,34.2571,34.3152,37.3985,36.14,36.4835,37.4866,35.3734,35.9648,35.4379,34.1985,35.6738,35.7138,35.7258,36.0744,35.815
setb4xyz,33.9824,32.7256,34.3889,32.2909,35.3175,32.6218,32.3608,35.1035,32.1241,32.845,34.1951,32.7847,32.8008,32.1588,32.8377,33.9866,34.2109,32.8627,32.7292,34.2406
