Instance,ABC_Mean,GA_Mean,p-value (GA),vs_GA,DAO_Mean,p-value (DAO),vs_DAO
mt10c1,977.1,993.35,0.0593228971249549,=,990.85,0.03176329212617575,+
mt10cc,947.6,966.8,0.0008980735553357066,+,965.15,0.0035656274986457077,+
mt10x,974.85,992.65,0.07924319938649121,=,991.65,0.009963978924213848,+
mt10xx,974.7,994.55,0.0029929173381608707,+,981.0,0.2954986096847081,=
mt10xxx,968.35,987.05,0.012568292597799431,+,986.0,0.005667348077602546,+
mt10xy,954.8,977.75,0.0013747466917638986,+,968.75,0.016861808741509374,+
mt10xyz,909.15,919.85,0.0023206368320914544,+,912.7,0.285893188936721,=
setb4c9,992.7,1024.6,0.0002529651592112549,+,1017.15,0.00015461901506827138,+
setb4cc,962.7,1007.15,8.794879347050151e-05,+,989.7,0.00013957070240017467,+
setb4x,988.8,1022.25,8.807368035275503e-05,+,1027.6,8.807368035275503e-05,+
setb4xx,983.3,1026.55,0.00010320278396347189,+,1020.15,0.00011992949131795471,+
setb4xxx,984.05,1020.1,0.00016178660396707955,+,1019.0,0.00010320278396347189,+
setb4xy,958.65,1005.95,3.814697265625e-06,+,1004.7,8.832385863081277e-05,+
setb4xyz,944.4,998.7,8.782404130245518e-05,+,984.5,8.757494073814436e-05,+
