Instance,ABC_Mean,GA_Mean,p-value (GA),vs_GA,DAO_Mean,p-value (DAO),vs_DAO
mt10c1,8.994924999999999,7.687105,1.9073486328125e-06,-,12.304948925971985,1.91E-06,+
mt10cc,8.97772,7.885695000000001,1.9073486328125e-06,-,12.30623893,1.91E-06,+
mt10x,8.90015,7.748579999999999,1.9073486328125e-06,-,12.18478307723999,1.91E-06,+
mt10xx,9.021925,7.664575000000001,1.9073486328125e-06,-,12.250477039813996,1.91E-06,+
mt10xxx,9.142215,7.712345000000001,1.9073486328125e-06,-,12.474479341506958,1.91E-06,+
mt10xy,9.081800000000001,7.790909999999999,1.9073486328125e-06,-,12.296240091323853,1.91E-06,+
mt10xyz,9.011759999999999,7.571624999999999,1.9073486328125e-06,-,12.397635316848755,1.91E-06,+
setb4c9,13.721684999999999,11.71495,1.9073486328125e-06,-,19.46643497943878,1.91E-06,+
setb4cc,13.757195,11.722175,1.9073486328125e-06,-,19.453198933601378,1.91E-06,+
setb4x,13.79734,11.85183,1.9073486328125e-06,-,19.416563320159913,1.91E-06,+
setb4xx,13.931389999999999,11.922785000000001,1.9073486328125e-06,-,19.50898931026459,1.91E-06,+
setb4xxx,14.03734,11.958825000000001,1.9073486328125e-06,-,19.556496965885163,1.91E-06,+
setb4xy,13.74309,11.66528,1.9073486328125e-06,-,19.748900735378264,1.91E-06,+
setb4xyz,12.112499999999999,10.90616,1.9073486328125e-06,-,19.72194026,1.91E-06,+
