Instance,ABC_Mean,GA_Mean,p-value (GA),vs_GA,DAO_Mean,p-value (DAO),vs_DAO
mt10c1,1006.2,993.35,0.05591505160550933,=,990.85,0.05586538001516179,=
mt10cc,969.3,966.8,0.5015540323300163,=,965.15,0.44437056155363186,=
mt10x,997.5,992.65,0.6273260411504213,=,991.65,0.537866329183696,=
mt10xx,999.4,994.55,0.7651587300879816,=,981.0,0.0018236132568077868,-
mt10xxx,1001.1,987.05,0.10833446361427525,=,986.0,0.043785360256910766,-
mt10xy,978.6,977.75,0.6949118726656502,=,968.75,0.12104875863861309,=
mt10xyz,924.6,919.85,0.2860884564342624,=,912.7,0.014087612795763423,-
setb4c9,1000.3,1024.6,0.0008908778281587565,+,1017.15,0.0011104462607044168,+
setb4cc,977.95,1007.15,0.00013919636333751571,+,989.7,0.008937756893729878,+
setb4x,999.2,1022.25,0.0007746487679975861,+,1027.6,0.00012939933700043435,+
setb4xx,999.1,1026.55,0.00010320278396347189,+,1020.15,0.003809330964064034,+
setb4xxx,993.2,1020.1,0.0008899536071042575,+,1019.0,0.000209808349609375,+
setb4xy,974.5,1005.95,0.00013957070240017467,+,1004.7,0.0003364352536135237,+
setb4xyz,965.05,998.7,0.00023456379504335051,+,984.5,0.001937891404723623,+
