instance_name,computational_time,objective_value,optimal(lower_bound)
mk01,5.1054 ± 0.0513,41.60 ± 0.70,40
mk02,5.4822 ± 0.0469,28.90 ± 0.88,24
mk03,15.2595 ± 0.0634,204.00 ± 0.00,204
mk04,8.6002 ± 0.0661,65.30 ± 1.06,60
mk05,10.7607 ± 0.0612,177.40 ± 0.70,168
mk06,18.5754 ± 0.1980,74.00 ± 2.16,33
mk07,10.6232 ± 0.1230,149.70 ± 1.70,133
mk08,34.9236 ± 0.5780,523.00 ± 0.00,523
mk09,36.9775 ± 0.5196,319.40 ± 4.30,307
mk10,38.6221 ± 0.4670,248.80 ± 7.77,175
mk11,30.7332 ± 0.5189,632.20 ± 4.89,594
mk12,31.7810 ± 0.2533,510.80 ± 4.96,508
mk13,39.7348 ± 0.7175,457.50 ± 4.62,353
mk14,48.4322 ± 0.5652,694.00 ± 0.00,694
mk15,48.7238 ± 0.6335,410.40 ± 10.47,283
