instance_name,computational_time,objective_value,optimal(lower_bound)
mk01,6.3539 ± 0.0958,41.80 ± 0.63,40
mk02,6.8956 ± 0.1406,29.70 ± 0.82,24
mk03,22.7669 ± 0.2943,204.00 ± 0.00,204
mk04,13.1000 ± 0.2360,66.50 ± 1.18,60
mk05,15.3437 ± 0.1528,178.40 ± 0.70,168
mk06,21.6199 ± 0.3018,75.40 ± 1.90,33
mk07,15.4718 ± 0.1847,150.60 ± 1.35,133
mk08,37.0533 ± 0.4231,523.00 ± 0.00,523
mk09,38.7534 ± 0.3299,321.70 ± 3.62,307
mk10,39.2825 ± 0.3666,252.60 ± 5.13,175
mk11,32.8812 ± 0.2193,635.10 ± 3.11,594
mk12,32.9893 ± 0.1657,510.80 ± 5.14,508
mk13,39.7031 ± 0.3646,464.00 ± 6.85,353
mk14,53.3907 ± 0.2576,694.00 ± 0.00,694
mk15,49.8249 ± 0.3338,415.60 ± 5.85,283
