instance_name,seed_55589,seed_97402,seed_89190,seed_25814,seed_16969,seed_31181,seed_1573,seed_64163,seed_32093,seed_62154,seed_61472,seed_90888,seed_93148,seed_60149,seed_54209,seed_7839,seed_27714,seed_17168,seed_62709,seed_26491
mt10c1,993,997,1003,991,984,984,985,1010,989,977,992,996,976,966,1037,982,981,982,1001,994
mt10cc,930,951,970,971,961,979,954,979,962,941,961,954,954,1006,951,992,959,966,960,994
mt10x,1018,989,996,974,970,997,1007,984,1015,994,989,991,997,956,1003,967,970,1018,1009,1023
mt10xx,1022,967,968,994,1005,997,958,967,1027,959,1006,976,967,974,978,1000,994,982,1018,1043
mt10xxx,983,997,1014,971,998,997,1005,959,1016,990,1007,997,967,995,999,970,970,1002,1027,973
mt10xy,984,971,974,989,976,981,966,997,971,950,977,985,951,974,974,980,958,970,1009,984
mt10xyz,903,894,919,914,939,912,902,885,875,894,903,907,915,895,912,913,901,923,933,887
setb4c9,1038,1027,1028,1010,1032,1011,1032,1023,1065,1023,1004,1022,1004,999,1049,1006,983,1005,1008,1020
setb4cc,1014,1006,985,975,1036,1002,991,987,1014,1006,993,999,995,977,988,989,1011,996,992,990
setb4x,1049,1021,1035,1025,1023,1017,1032,1016,996,1011,995,1053,998,997,990,1018,1012,1025,1036,1021
setb4xx,1036,1032,1024,1035,1035,1002,1032,1039,1034,1011,1006,1000,1005,1040,994,1026,1038,1022,1014,1002
setb4xxx,1044,1036,1025,993,1032,1013,1067,1006,993,1009,1002,1016,1023,1059,1000,1017,1041,1031,1017,1057
setb4xy,990,972,996,1001,1023,988,991,1009,1001,1016,987,1008,997,1018,995,1002,1010,1005,999,1036
setb4xyz,971,1005,1000,996,989,974,989,980,978,981,981,999,976,977,991,987,1009,982,984,1029
seti5c12,1275,1327,1273,1306,1322,1332,1324,1302,1302,1255,1324,1279,1300,1336,1270,1314,1272,1282,1329,1292
seti5cc,1260,1267,1258,1285,1270,1264,1273,1260,1266,1275,1275,1261,1277,1290,1253,1264,1261,1216,1283,1282
seti5x,1309,1346,1320,1338,1349,1287,1373,1350,1317,1317,1306,1343,1324,1331,1325,1359,1317,1318,1341,1353
seti5xx,1317,1368,1316,1319,1345,1327,1303,1353,1303,1327,1319,1310,1306,1322,1321,1304,1313,1312,1336,1319
seti5xxx,1324,1335,1309,1327,1326,1348,1341,1330,1286,1327,1310,1308,1327,1340,1289,1318,1297,1315,1336,1319
seti5xy,1260,1267,1258,1285,1270,1264,1273,1260,1266,1275,1275,1261,1277,1290,1253,1264,1261,1216,1283,1282
seti5xyz,1279,1269,1274,1261,1258,1277,1250,1232,1272,1210,1280,1263,1247,1252,1234,1226,1228,1212,1208,1276
