instance_name,GA_mean,AO_mean,wilcoxon_symbol,p_value,statistic,num_seeds
mt10c1,8.2994,12.3049,-,9.5e-07,210.0,20
mt10cc,8.3212,12.3062,-,9.5e-07,210.0,20
mt10x,8.439,12.1848,-,9.5e-07,210.0,20
mt10xx,8.5721,12.2505,-,9.5e-07,210.0,20
mt10xxx,8.5663,12.4745,-,9.5e-07,210.0,20
mt10xy,8.4588,12.2962,-,9.5e-07,210.0,20
mt10xyz,8.3728,12.3976,-,9.5e-07,210.0,20
setb4c9,13.1782,19.4664,-,9.5e-07,210.0,20
setb4cc,13.2158,19.4532,-,9.5e-07,210.0,20
setb4x,13.5474,19.4166,-,9.5e-07,210.0,20
setb4xx,13.5339,19.509,-,9.5e-07,210.0,20
setb4xxx,13.5394,19.5565,-,9.5e-07,210.0,20
setb4xy,13.3346,19.7489,-,9.5e-07,210.0,20
setb4xyz,11.9138,19.7219,-,9.5e-07,210.0,20
