instance_name,seed_55589,seed_97402,seed_89190,seed_25814,seed_16969,seed_31181,seed_1573,seed_64163,seed_32093,seed_62154,seed_61472,seed_90888,seed_93148,seed_60149,seed_54209,seed_7839,seed_27714,seed_17168,seed_62709,seed_26491
mt10c1,1009,998,958,1020,981,984,989,1006,1024,1042,989,997,982,987,1010,1037,1007,1010,994,1002
mt10cc,993,1006,951,997,969,980,970,940,962,959,942,963,967,989,990,951,958,985,973,981
mt10x,993,1011,1016,1013,979,1007,1023,967,997,1057,989,973,1027,1041,1000,995,982,1024,1013,983
mt10xx,991,998,1000,1029,1048,1014,1063,1048,1011,986,981,999,982,993,963,1016,1004,1017,1005,993
mt10xxx,1018,1011,994,971,944,986,1035,982,990,988,967,934,1027,998,982,985,955,1015,1013,977
mt10xy,981,985,978,1002,962,1003,971,967,970,952,984,973,975,1022,955,982,964,961,989,939
mt10xyz,886,912,894,880,924,916,906,897,949,928,919,891,934,928,920,897,912,912,899,869
setb4c9,1025,1001,1008,1030,1017,1029,1050,1072,1034,1035,1019,969,1034,1073,1030,1002,1013,1037,998,1040
setb4cc,1039,1032,1015,977,1016,1052,1009,1005,1011,987,1086,1002,1006,991,1011,1005,1006,1056,979,1017
setb4x,1018,991,1046,1080,1034,1047,1040,1040,1040,1036,996,1005,1060,1049,1014,1009,1035,1029,1002,1010
setb4xx,1015,1033,998,1012,1024,979,980,1000,1011,1044,985,1041,1049,992,1020,1024,1019,1052,1030,1020
setb4xxx,986,1043,1027,1002,1023,1004,1018,1009,1024,1030,996,1020,1041,1031,1012,1009,1045,1006,999,981
setb4xy,1001,991,1048,983,997,998,1003,998,979,992,995,1020,994,1025,994,999,1048,968,1005,1001
setb4xyz,1045,967,1030,1005,1007,977,965,961,987,970,968,989,1019,1009,960,1008,946,986,996,968
