instance_name,GA_mean,AO_mean,wilcoxon_symbol,p_value,statistic,num_seeds
mt10c1,1001.3,990.85,=,0.16460096999947205,60.5,20
mt10cc,971.3,965.15,=,0.42081586547664906,75,20
mt10x,1004.5,991.65,=,0.12579257987766432,64,20
mt10xx,1007.05,981,-,0.001940757,22,20
mt10xxx,988.6,986,=,0.7793689648384642,97.5,20
mt10xy,975.75,968.75,=,0.2952773775482632,69,20
mt10xyz,908.65,912.7,=,0.501442175,87,20
setb4c9,1025.8,1017.15,=,0.21958398684565095,64.5,20
setb4cc,1015.1,989.7,-,0.002064796,22.5,20
setb4x,1029.05,1027.6,=,0.8879677784487371,91.5,20
setb4xx,1016.4,1020.15,=,0.5254366681696573,88,20
setb4xxx,1015.3,1019,=,0.3140952739119278,70,20
setb4xy,1001.95,1004.7,=,0.4326069926831083,84,20
setb4xyz,988.15,984.5,=,0.9256206863321941,102.5,20
