instance_name,GA_mean,AO_mean,wilcoxon_symbol,p_value,statistic,num_seeds
mt10c1,7.687105,12.304948925971985,+,1.9073486328125e-06,0.0,20
mt10cc,7.885695000000001,12.306238925457,+,1.9073486328125e-06,0.0,20
mt10x,7.748579999999999,12.18478307723999,+,1.9073486328125e-06,0.0,20
mt10xx,7.664575000000001,12.250477039813996,+,1.9073486328125e-06,0.0,20
mt10xxx,7.712345000000001,12.474479341506958,+,1.9073486328125e-06,0.0,20
mt10xy,7.790909999999999,12.296240091323853,+,1.9073486328125e-06,0.0,20
mt10xyz,7.571624999999999,12.397635316848755,+,1.9073486328125e-06,0.0,20
setb4c9,11.71495,19.46643497943878,+,1.9073486328125e-06,0.0,20
setb4cc,11.722175,19.453198933601378,+,1.9073486328125e-06,0.0,20
setb4x,11.85183,19.416563320159913,+,1.9073486328125e-06,0.0,20
setb4xx,11.922785000000001,19.50898931026459,+,1.9073486328125e-06,0.0,20
setb4xxx,11.958825000000001,19.556496965885163,+,1.9073486328125e-06,0.0,20
setb4xy,11.66528,19.748900735378264,+,1.9073486328125e-06,0.0,20
setb4xyz,10.90616,19.7219402551651,+,1.9073486328125e-06,0.0,20
