instance_name,seed_55589,seed_97402,seed_89190,seed_25814,seed_16969,seed_31181,seed_1573,seed_64163,seed_32093,seed_62154,seed_61472,seed_90888,seed_93148,seed_60149,seed_54209,seed_7839,seed_27714,seed_17168,seed_62709,seed_26491
mt10c1,7.4798,7.4548,7.3643,7.6048,7.7274,7.4478,8.0345,7.5893,7.8714,7.4343,7.5578,7.6238,7.4198,7.9294,7.8754,7.8994,7.9244,7.6874,7.9214,7.8949
mt10cc,7.9319,7.5783,7.9254,7.9479,7.42,7.3665,7.383,8.3328,7.9917,8.2918,7.4815,7.423,8.2538,7.4725,8.3519,8.4629,7.416,8.4489,8.3469,7.8872
mt10x,8.4069,7.8602,7.9057,7.8937,7.8952,7.7977,7.8827,7.7792,8.0293,7.3303,7.4328,8.0638,7.3627,7.4042,7.4631,7.7967,7.4116,7.7556,7.7231,7.7771
mt10xx,7.8486,7.8366,7.8711,7.8701,7.8506,7.8641,7.8146,7.8771,7.36,7.3695,7.9556,7.8466,7.3149,7.4054,7.2899,7.4189,7.6264,7.6069,7.4358,7.8288
mt10xxx,7.9417,7.9122,7.9152,7.4112,7.8832,7.4502,7.9877,7.5587,7.8872,7.8412,7.7542,7.9197,7.9602,7.9731,7.426,7.927,7.3886,7.4487,7.3117,7.3492
mt10xy,7.4858,7.5078,7.3543,7.3518,8.2119,7.4413,7.8304,7.4888,7.9695,8.134,8.013,7.4398,7.85,7.9385,7.8855,7.8585,7.9025,8.1256,8.1606,7.8686
mt10xyz,7.2996,7.3301,7.286,7.3586,7.6115,7.319,7.548,7.3535,7.4606,7.3121,7.3697,7.8302,7.8593,7.8612,7.8292,7.8537,7.8417,7.8517,7.4691,7.7877
setb4c9,12.0461,12.0796,12.0856,12.2271,11.345,11.336,11.735,11.3835,11.4146,11.4416,11.5756,11.4176,11.3891,11.4216,11.355,12.037,11.705,12.174,12.0525,12.0775
setb4cc,12.1185,12.1775,12.075,12.2135,12.0944,12.1579,11.9014,12.0458,11.4391,11.3391,11.5187,11.3952,11.3212,11.4582,11.5113,11.3518,11.4723,11.3933,11.4629,11.9964
setb4x,12.1379,12.3638,11.9908,12.1128,12.1433,12.1383,12.1888,12.1713,12.2355,11.4454,12.2109,12.123,11.6045,11.5044,11.3923,11.4788,11.4932,11.5426,11.277,11.482
setb4xx,11.5284,11.5934,11.4904,12.3518,12.2543,12.2353,12.2578,12.1513,12.3318,12.2763,11.6353,12.1483,12.1989,12.0919,12.0869,12.1109,11.3778,11.3808,11.6143,11.3398
setb4xxx,11.4398,11.6343,11.4148,11.5773,11.6298,11.3428,11.5613,12.2553,12.2093,11.4088,12.2173,12.2563,12.2183,12.1953,12.3273,12.3083,12.2958,12.2413,12.3258,12.3173
setb4xy,11.4208,11.1872,11.2582,11.4787,11.3012,11.2838,11.5207,11.5027,11.4317,11.3067,11.4037,11.3018,12.2018,12.0913,12.0993,12.0358,12.1263,12.0863,12.0743,12.1933
setb4xyz,11.7648,11.5888,11.7559,11.6994,11.3863,11.3663,11.3543,11.1218,11.1614,10.9804,11.0954,10.7099,11.0854,10.9944,10.9654,10.3399,9.4603,9.9629,9.8714,9.4588
