instance_name,GA_mean,AO_mean,wilcoxon_symbol,p_value,statistic,num_seeds
mt10c1,993.35,990.85,=,0.8227300289806458,99.0,20
mt10cc,966.8,965.15,=,0.6720969384209414,84.5,20
mt10x,992.65,991.65,=,0.8091660797772467,89.0,20
mt10xx,994.55,981.0,=,0.0701485914890446,56.5,20
mt10xxx,987.05,986.0,=,0.7781553121929792,88.0,20
mt10xy,977.75,968.75,=,0.21453736472050733,57.0,20
mt10xyz,919.85,912.7,=,0.13525478702393764,65.0,20
setb4c9,1024.6,1017.15,=,0.20413309099535704,71.0,20
setb4cc,1007.15,989.7,-,0.0010341537514651968,13.5,20
setb4x,1022.25,1027.6,=,0.40079364524921324,82.5,20
setb4xx,1026.55,1020.15,=,0.36517898188466746,72.5,20
setb4xxx,1020.1,1019.0,=,0.8081686410576544,98.5,20
setb4xy,1005.95,1004.7,=,1.0,105.0,20
setb4xyz,998.7,984.5,-,0.0418166944120733,50.5,20
