instance_name,GWO_mean,AO_mean,wilcoxon_symbol,p_value,statistic,num_seeds
mt10c1,976.5,990.85,=,0.11682388159165906,63.0,20
mt10cc,946.2,965.15,+,0.01862347400330236,42.0,20
mt10x,976.55,991.65,+,0.020589278472392402,43.0,20
mt10xx,973.95,981.0,=,0.07926935930838233,58.0,20
mt10xxx,969.0,986.0,+,0.004032377822748656,28.0,20
mt10xy,957.6,968.75,+,0.04988015067359627,52.5,20
mt10xyz,900.95,912.7,+,0.02827706592168695,40.5,20
setb4c9,1000.2,1017.15,+,0.011114951378774891,37.0,20
setb4cc,982.1,989.7,+,0.04776043385592981,52.0,20
setb4x,1010.05,1027.6,+,0.016737727392286888,41.0,20
setb4xx,1008.15,1020.15,+,0.03324803774124849,48.0,20
setb4xxx,1006.75,1019.0,=,0.06725913065927369,56.0,20
setb4xy,980.9,1004.7,+,0.0011946616335531883,14.5,20
setb4xyz,965.5,984.5,+,0.005402321065457091,30.5,20
seti5c12,1269.95,1304.6,+,8.844915021211901e-05,0.0,20
seti5cc,1244.85,1266.9,+,0.00033603240808095737,9.0,20
seti5x,1292.65,1331.25,+,0.00021241003731849327,3.0,20
seti5xx,1293.25,1323.4,+,0.0003621922250359147,9.5,20
seti5xxx,1295.8,1320.45,+,0.005725540228364647,31.0,20
seti5xy,1244.85,1266.9,+,0.00033603240808095737,9.0,20
seti5xyz,1221.4,1241.7,+,0.004035580423482011,28.0,20
