instance_name,computational_time,objective_value,optimal(lower_bound)
mk01,1.3774 ± 0.0736,42.20 ± 1.14,40
mk02,1.6249 ± 0.2237,30.90 ± 0.99,24
mk03,4.4286 ± 0.0360,204.00 ± 0.00,204
mk04,2.3533 ± 0.3451,67.60 ± 1.43,60
mk05,3.0633 ± 0.5109,179.30 ± 1.25,168
mk06,4.9581 ± 0.9574,76.60 ± 1.78,33
mk07,3.3589 ± 1.1106,159.10 ± 5.47,133
mk08,6.8695 ± 0.9391,523.40 ± 0.97,523
mk09,7.7762 ± 2.0582,324.60 ± 4.74,307
mk10,10.1798 ± 3.4293,259.30 ± 6.99,175
mk11,6.2058 ± 1.7617,640.10 ± 4.33,594
mk12,6.3778 ± 1.5755,525.90 ± 3.78,508
mk13,9.4329 ± 2.8550,472.30 ± 11.26,353
mk14,11.6996 ± 0.7019,694.00 ± 0.00,694
mk15,19.9283 ± 8.1697,423.30 ± 10.89,283
