instance_name,seed_55589,seed_97402,seed_89190,seed_25814,seed_16969,seed_31181,seed_1573,seed_64163,seed_32093,seed_62154,seed_61472,seed_90888,seed_93148,seed_60149,seed_54209,seed_7839,seed_27714,seed_17168,seed_62709,seed_26491
mt10c1,996,981,999,1006,997,994,976,987,1037,990,993,989,988,1004,987,1019,981,986,982,991
mt10cc,930,957,950,951,941,951,954,976,951,978,951,950,949,951,960,942,951,981,997,977
mt10x,1021,989,979,1008,995,997,1021,973,1003,984,997,1005,967,1022,991,970,973,1000,977,967
mt10xx,987,982,997,1008,992,983,985,1009,1019,998,982,1007,988,985,999,983,1000,995,1014,975
mt10xxx,1013,989,997,1008,1005,955,942,1022,1016,992,1012,983,967,1003,960,971,980,1039,1020,993
mt10xy,964,986,982,965,973,955,966,966,999,980,962,997,974,955,1005,944,968,971,971,941
mt10xyz,928,905,909,901,939,931,916,896,919,939,927,905,900,932,912,932,934,918,913,896
setb4c9,1054,1030,1041,1039,1011,1011,984,1014,1010,1012,1015,1004,1027,991,1039,1013,1046,1034,1015,1045
setb4cc,1004,1001,984,1004,1002,974,986,999,959,1013,998,1006,1009,946,987,997,994,973,974,1037
setb4x,1036,988,1018,1017,1032,1011,1013,1054,1012,1034,1024,1048,1023,1011,1036,1020,1004,1029,1022,1031
setb4xx,1032,1023,1014,1035,1049,1010,996,1051,1001,1018,1004,1000,1008,1034,1034,1033,1012,1000,1034,1011
setb4xxx,1039,1041,1020,1035,1037,1002,1000,1038,1006,1031,1002,1013,998,1023,1034,1035,1002,1036,1019,1001
setb4xy,966,1026,1026,1010,992,989,1012,999,990,1028,996,983,998,1019,980,971,992,987,1031,1013
setb4xyz,987,999,1000,1001,1019,1001,979,990,994,1012,971,1016,991,1010,974,995,993,981,1020,964
seti5c12,1266,1295,1287,1277,1285,1332,1300,1305,1328,1275,1330,1277,1343,1310,1313,1277,1317,1265,1316,1302
seti5cc,1282,1283,1248,1273,1275,1275,1293,1266,1279,1280,1273,1261,1263,1278,1273,1231,1287,1266,1240,1270
seti5x,1329,1326,1342,1337,1304,1337,1318,1342,1307,1336,1300,1331,1355,1329,1325,1318,1331,1344,1354,1348
seti5xx,1327,1351,1339,1293,1327,1362,1318,1301,1298,1318,1322,1319,1348,1326,1316,1314,1358,1334,1318,1348
seti5xxx,1310,1294,1318,1325,1328,1323,1322,1333,1330,1344,1313,1315,1320,1334,1307,1297,1298,1281,1310,1297
seti5xy,1282,1283,1248,1273,1275,1275,1293,1266,1279,1280,1273,1261,1263,1278,1273,1231,1287,1266,1240,1270
seti5xyz,1241,1232,1238,1271,1258,1293,1268,1260,1251,1243,1247,1280,1260,1270,1254,1247,1274,1251,1234,1273
