instance_name,seed_55589,seed_97402,seed_89190,seed_25814,seed_16969,seed_31181,seed_1573,seed_64163,seed_32093,seed_62154,seed_61472,seed_90888,seed_93148,seed_60149,seed_54209,seed_7839,seed_27714,seed_17168,seed_62709,seed_26491
mt10c1,27.6145,25.9307,27.6449,27.7902,26.6154,27.2807,26.7905,26.4278,28.3196,27.2667,27.0162,28.9746,26.6428,26.1226,27.4969,26.6706,28.3832,28.7372,29.2025,25.9945
mt10cc,27.2263,27.3101,23.7639,23.0815,24.5494,23.5257,26.6588,23.8597,27.0733,26.9076,26.5228,27.6794,26.3997,26.3277,27.508,26.9658,26.4138,27.0795,23.5536,26.6592
mt10x,25.9685,26.5274,23.7265,27.8245,26.572,26.4136,30.0837,25.6133,26.8416,29.6298,29.8825,29.0148,30.0366,27.6302,29.696,29.4123,28.6581,30.8027,27.2805,31.1604
mt10xx,40.6218,40.2052,42.0177,40.9878,40.8261,41.4962,41.4932,42.4424,41.9637,42.8769,41.7576,41.0281,41.9933,41.5645,40.6274,41.8772,41.2981,42.5178,42.6886,40.0546
mt10xxx,42.3302,41.2381,42.278,40.8986,41.6108,40.8927,41.4716,42.5001,42.5244,42.2794,40.7747,40.5147,41.0638,41.0294,42.4447,41.5935,40.4389,42.4657,41.3039,42.2932
mt10xy,39.9062,40.6928,41.5582,42.0448,40.2237,42.2103,40.4692,40.6605,40.3903,42.0942,42.0482,40.5709,40.5534,40.314,40.8868,40.4851,40.6172,41.1595,42.4723,41.8485
mt10xyz,38.5568,38.7465,38.7344,37.8657,36.8034,39.4712,39.4569,35.4425,36.4407,37.3114,37.202,37.4719,39.1946,37.2268,37.6082,39.2235,36.4043,40.0446,39.3632,39.4429
setb4c9,59.4032,59.5382,62.3944,59.2578,61.0736,59.8835,61.1972,57.5964,62.5814,58.3984,59.0407,60.4131,60.175,61.0218,57.9985,61.2964,63.1982,61.8099,61.716,61.5293
setb4cc,59.3509,63.6702,59.8307,60.7701,60.6992,61.793,62.4788,60.62,58.1209,61.6265,59.001,57.3473,60.0139,59.5493,59.8473,58.8797,60.2029,57.5806,56.4115,58.5172
setb4x,59.1496,59.7393,63.0171,59.9384,60.2052,61.4925,60.0288,58.2941,62.1758,61.7235,61.0538,60.3363,62.4218,60.0482,59.761,58.3084,58.6491,59.1764,58.9716,61.3314
setb4xx,60.5924,60.7419,58.0123,60.1198,60.0106,58.7944,60.5545,62.8124,61.1711,58.4916,61.816,61.5573,59.9584,62.5973,61.2073,58.7087,58.8218,59.9379,62.2686,58.7544
setb4xxx,57.4577,62.3468,60.8568,61.9443,59.0429,60.3723,60.1953,61.448,57.6776,61.667,60.2041,59.7412,58.3713,58.9191,61.7441,58.9821,61.9095,61.6251,59.2016,58.4706
setb4xy,59.1877,60.3199,61.4704,61.263,58.1625,61.4186,60.0561,59.9215,59.3601,59.3077,57.6787,57.646,60.1582,62.7906,60.9515,61.3269,61.1012,61.2688,60.5887,61.2325
setb4xyz,57.6729,58.9254,58.2945,57.755,58.4649,60.8863,59.8687,57.8164,59.5453,61.7249,57.8608,57.723,58.5229,61.726,59.0515,60.3236,62.3082,59.8178,62.3082,62.2668
seti5c12,90.6543,95.8977,95.0985,93.7746,94.6791,94.9961,93.4332,91.5192,91.5008,93.9892,95.9988,94.1771,96.6915,90.4209,89.8145,92.7004,91.9086,93.784,94.078,91.755
seti5cc,93.833,95.2216,93.9606,93.7935,94.3013,97.2103,95.1604,96.1756,92.735,93.895,95.1522,94.0736,94.4448,91.227,94.357,93.3284,95.5219,92.3346,91.7707,91.4485
seti5x,86.4377,87.46,88.6903,86.2805,86.5495,87.9677,87.8556,82.369,89.3466,87.8986,86.5443,86.2844,87.8405,87.2709,82.8255,88.3807,87.8197,88.5329,87.7376,84.1995
seti5xx,89.7078,85.9882,88.4545,88.5869,89.2576,89.0439,88.018,90.5126,86.9931,83.7029,87.675,89.1448,84.571,88.6902,84.4204,82.9953,88.7213,88.546,90.1268,89.058
seti5xxx,85.775,87.6922,85.8233,90.5922,91.7788,88.8936,90.1141,90.0479,89.719,90.1099,89.4725,86.6888,87.2457,90.8159,89.67,90.9332,90.9889,89.2268,86.8221,89.3727
seti5xy,85.073,88.315,88.5077,87.4201,88.8779,87.0934,88.1873,88.6178,91.2359,88.3138,87.095,88.8058,88.2144,88.2502,92.4148,90.2779,87.2851,89.4916,85.9188,88.2777
seti5xyz,90.6157,89.8569,89.3943,86.9661,91.8984,89.1732,89.7558,87.8676,88.5266,89.0532,88.7245,89.1271,87.3839,87.926,84.9363,84.451,85.4929,84.4501,81.6672,82.6621
