instance_name,seed_55589,seed_97402,seed_89190,seed_25814,seed_16969,seed_31181,seed_1573,seed_64163,seed_32093,seed_62154,seed_61472,seed_90888,seed_93148,seed_60149,seed_54209,seed_7839,seed_27714,seed_17168,seed_62709,seed_26491
mt10c1,957,1000,994,1021,982,995,959,1018,1007,987,971,997,976,945,969,990,976,986,1033,1019
mt10cc,930,954,961,977,961,951,974,981,951,959,989,964,972,949,951,966,958,966,966,951
mt10x,997,993,1000,974,985,997,985,978,1003,998,1009,1007,971,997,988,955,970,1029,1006,981
mt10xx,1021,967,973,977,985,976,966,970,1010,977,970,1005,982,1005,999,1007,971,968,1027,1037
mt10xxx,983,1020,1014,982,997,978,971,979,1003,998,991,1002,967,971,980,982,947,1022,983,984
mt10xy,951,981,1004,973,967,961,949,972,971,988,958,967,982,955,955,980,954,970,981,981
mt10xyz,924,918,929,903,922,928,917,907,924,895,910,900,901,917,923,880,901,916,904,907
setb4c9,1011,1024,1005,1005,1023,1011,1032,1025,1065,1035,1025,1032,1008,1002,1002,998,1038,1022,1054,1033
setb4cc,1013,999,993,986,996,998,972,1022,1001,996,994,991,1001,972,969,1021,990,1001,1019,1015
setb4x,1053,1029,1021,1021,1023,1014,1006,1030,1005,1027,1037,1007,1032,1015,1031,1038,1004,1040,1056,1010
setb4xx,1036,1007,1011,1010,1024,1012,1025,1018,1001,999,1042,1017,1011,1024,1034,1046,1020,1034,1014,1050
setb4xxx,1023,1019,1020,1014,1032,1012,1048,1018,1021,1009,1010,1019,1025,978,1020,1025,1006,1007,1008,991
setb4xy,982,1008,989,1006,989,1016,989,999,1013,1032,987,1009,1003,1012,995,987,1007,1007,1013,1045
setb4xyz,1000,1001,1000,982,993,996,976,958,998,1002,992,1018,984,977,985,972,1010,1016,1007,972
seti5c12,1276,1327,1322,1289,1296,1303,1308,1326,1325,1249,1291,1288,1331,1311,1294,1301,1290,1287,1335,1323
seti5cc,1245,1278,1251,1278,1275,1287,1252,1251,1285,1257,1309,1292,1247,1272,1246,1260,1281,1253,1246,1261
seti5x,1290,1367,1326,1338,1301,1314,1306,1337,1355,1341,1325,1320,1322,1331,1305,1344,1325,1317,1349,1315
seti5xx,1327,1345,1310,1324,1296,1335,1305,1290,1298,1327,1343,1325,1354,1321,1313,1310,1300,1290,1328,1319
seti5xxx,1324,1327,1304,1318,1339,1329,1254,1327,1298,1325,1322,1297,1313,1298,1279,1318,1350,1329,1337,1324
seti5xy,1245,1278,1251,1278,1275,1287,1252,1251,1285,1257,1309,1292,1247,1272,1246,1260,1281,1253,1246,1261
seti5xyz,1268,1250,1274,1235,1271,1250,1246,1228,1237,1283,1231,1275,1242,1294,1262,1212,1225,1229,1214,1256
