instance_name,seed_55589,seed_97402,seed_89190,seed_25814,seed_16969,seed_31181,seed_1573,seed_64163,seed_32093,seed_62154,seed_61472,seed_90888,seed_93148,seed_60149,seed_54209,seed_7839,seed_27714,seed_17168,seed_62709,seed_26491
mt10c1,1111,1112,1059,1103,1120,1129,1100,1157,1124,1083,1132,1114,1072,1118,1116,1135,1085,1114,1096,1146
mt10cc,1064,1040,1025,1086,1061,1079,1056,1055,1062,1041,1081,1048,1045,1076,1075,1026,1038,1063,1081,1067
mt10x,1130,1144,1119,1103,1096,1125,1142,1150,1133,1083,1118,1114,1133,1114,1116,1120,1036,1135,1102,1111
mt10xx,1110,1105,1119,1106,1106,1112,1128,1061,1111,1120,1120,1096,1136,1042,1100,1122,1036,1135,1111,1112
mt10xxx,1130,1109,1119,1103,1094,1116,1146,1150,1133,1083,1096,1114,1133,1114,1099,1100,1036,1135,1102,1111
mt10xy,1042,1092,1029,1089,1026,1046,1098,1072,1060,1019,1102,1094,1085,1076,1071,1082,1036,1055,1067,1062
mt10xyz,937,946,956,954,949,968,955,959,968,944,982,955,965,957,957,961,955,965,923,994
setb4c9,1139,1093,1131,1129,1153,1152,1128,1127,1110,1103,1151,1129,1078,1127,1106,1125,1131,1129,1108,1099
setb4cc,1096,1075,1091,1104,1105,1081,1062,1052,1061,1107,1094,1110,1034,1093,1098,1107,1109,1122,1078,1083
setb4x,1132,1111,1122,1126,1109,1075,1108,1098,1107,1140,1149,1107,1130,1100,1105,1125,1145,1132,1099,1124
setb4xx,1128,1110,1122,1128,1115,1124,1131,1134,1117,1140,1131,1131,1167,1108,1108,1104,1152,1126,1109,1135
setb4xxx,1132,1111,1122,1126,1109,1075,1108,1098,1107,1140,1125,1107,1130,1100,1105,1125,1145,1132,1099,1124
setb4xy,1068,1107,1088,1128,1079,1066,1089,1045,1090,1123,1108,1107,1074,1086,1097,1058,1094,1099,1057,1090
setb4xyz,1079,1060,1071,1085,1064,1048,1047,1039,1061,1049,1058,1071,1040,1055,1054,1005,1079,1084,1057,1065
seti5c12,1429,1424,1397,1421,1323,1438,1438,1408,1434,1421,1390,1406,1371,1400,1443,1433,1376,1442,1432,1431
seti5cc,1394,1389,1367,1349,1323,1363,1377,1363,1361,1383,1325,1338,1367,1370,1357,1369,1349,1357,1341,1366
seti5x,1462,1435,1428,1443,1385,1438,1450,1452,1417,1451,1362,1431,1404,1442,1423,1417,1417,1425,1433,1438
seti5xx,1452,1421,1424,1423,1365,1413,1413,1423,1442,1441,1401,1451,1405,1408,1430,1423,1426,1425,1433,1434
seti5xxx,1465,1435,1443,1387,1385,1438,1400,1443,1430,1410,1362,1431,1387,1442,1423,1453,1419,1384,1433,1438
seti5xy,1394,1389,1367,1349,1323,1363,1377,1363,1361,1383,1325,1338,1367,1370,1357,1369,1349,1357,1341,1366
seti5xyz,1330,1302,1307,1333,1311,1298,1308,1339,1312,1338,1325,1305,1329,1301,1320,1286,1326,1336,1318,1347
