instance_name,seed_55589,seed_97402,seed_89190,seed_25814,seed_16969,seed_31181,seed_1573,seed_64163,seed_32093,seed_62154,seed_61472,seed_90888,seed_93148,seed_60149,seed_54209,seed_7839,seed_27714,seed_17168,seed_62709,seed_26491
mt10c1,1006,982,1061,1004,997,1028,1018,981,989,1050,1039,1017,951,1036,989,1052,984,1011,997,982
mt10cc,980,1005,997,1000,972,987,994,966,1002,973,1001,952,987,1006,1016,966,1011,1025,974,976
mt10x,982,1007,985,1044,990,1008,1014,1017,1006,1046,1031,998,998,1032,982,986,1015,1019,980,1006
mt10xx,1048,999,967,1031,1045,968,1020,986,1016,1025,982,1010,997,1000,959,1050,1003,1048,1041,1008
mt10xxx,1005,967,982,1003,998,1013,1014,995,1034,1039,1035,983,1025,937,1008,991,993,968,1033,1029
mt10xy,981,1000,982,1010,1034,970,947,1015,981,982,1002,981,973,1007,965,963,965,992,951,998
mt10xyz,916,925,919,929,921,922,941,930,926,961,939,936,937,902,896,915,924,947,938,923
setb4c9,1073,1054,1069,1062,1022,1037,1031,1032,1013,1035,1079,1023,1043,1013,1045,1058,983,1029,1049,1020
setb4cc,1020,1032,1032,989,1008,970,1014,1002,1016,1002,1036,999,994,1002,1036,1029,1053,1017,983,1002
setb4x,1051,1037,1065,1019,1039,1028,1051,1021,1049,1036,1057,991,1012,1036,1060,1043,1036,1029,1034,1036
setb4xx,1020,1057,1047,1009,1041,1037,1033,1049,1060,1065,1051,1013,1041,1102,1055,1046,1028,991,1032,1054
setb4xxx,1076,1004,1051,1035,1036,1055,1048,1017,1049,1030,1033,1036,1036,1018,1033,1027,1012,1071,1023,1018
setb4xy,1022,1029,1013,1037,1032,1013,1078,1003,1024,1027,1024,1003,1020,1005,1035,1033,1034,995,1034,1023
setb4xyz,1023,997,969,1026,995,1015,987,1025,1006,977,985,1013,1021,1032,1024,1001,1029,999,978,1040
seti5c12,1299,1316,1310,1322,1311,1311,1345,1325,1340,1359,1316,1308,1286,1317,1315,1286,1342,1310,1297,1325
seti5cc,1270,1306,1271,1248,1311,1284,1323,1267,1308,1275,1298,1300,1263,1244,1265,1283,1272,1290,1264,1271
seti5x,1337,1379,1316,1336,1326,1338,1305,1342,1284,1307,1330,1327,1346,1372,1343,1334,1344,1334,1333,1347
seti5xx,1353,1382,1301,1348,1339,1345,1328,1333,1329,1348,1326,1353,1350,1365,1316,1353,1345,1356,1326,1361
seti5xxx,1331,1307,1298,1390,1352,1341,1361,1349,1325,1371,1328,1339,1326,1363,1336,1352,1351,1351,1358,1345
seti5xy,1270,1306,1271,1248,1311,1284,1323,1267,1308,1275,1298,1300,1263,1244,1265,1283,1272,1290,1264,1271
seti5xyz,1300,1271,1277,1306,1294,1284,1275,1290,1271,1282,1223,1261,1213,1267,1316,1265,1292,1285,1231,1249
