instance_name,seed_55589,seed_97402,seed_89190,seed_25814,seed_16969,seed_31181,seed_1573,seed_64163,seed_32093,seed_62154,seed_61472,seed_90888,seed_93148,seed_60149,seed_54209,seed_7839,seed_27714,seed_17168,seed_62709,seed_26491
mt10c1,27.9664,29.3466,29.5425,29.8088,33.4161,35.8898,30.4411,30.2416,32.5896,29.1094,29.566,32.0849,28.9228,29.9702,31.8789,30.0333,31.4096,29.3371,29.3356,32.6808
mt10cc,31.5851,33.9618,30.1357,29.0816,30.3852,30.4015,31.8783,29.8939,31.3093,29.1899,31.3693,29.1175,33.6309,29.117,30.3545,30.4753,32.3507,30.2263,34.8318,33.655
mt10x,46.0972,48.7686,47.2594,47.4914,48.608,47.432,49.0047,46.5568,47.836,49.827,47.9144,48.9505,48.3314,48.0347,49.7625,49.1648,50.6574,49.6997,48.4569,47.654
mt10xx,49.3221,47.3309,47.2423,47.079,47.0592,48.0189,46.8395,46.2629,47.5773,48.2847,50.4256,46.7186,49.5083,49.387,47.9287,48.6147,49.5443,49.4406,49.0832,46.7266
mt10xxx,46.0524,45.4419,44.9437,46.4547,46.5615,45.8621,45.8181,45.4968,45.7049,46.7674,44.8143,44.5433,46.39,45.8469,44.8047,45.3149,44.3755,45.3049,45.1197,43.7679
mt10xy,45.8444,45.3519,44.9581,43.9639,45.654,44.8532,44.3925,45.3006,44.7564,45.7904,45.546,44.0033,45.0461,45.2795,44.3921,44.9222,42.9773,43.9832,43.7319,44.1224
mt10xyz,40.8074,41.7059,42.8874,42.5259,42.9919,42.9369,43.5517,42.8728,42.3643,43.1328,42.7556,44.0231,41.0712,43.1558,42.7689,43.2067,43.37,45.2973,44.8836,42.9046
setb4c9,74.1849,68.733,68.3535,73.0512,69.9303,71.1516,72.1694,71.6286,67.5715,71.2729,74.0954,67.9608,73.3601,70.9289,68.6784,73.0399,66.7038,71.3496,73.1039,71.0821
setb4cc,66.9818,67.6603,66.9486,66.7635,66.8641,66.7603,67.6792,65.5312,67.9895,65.6071,66.8908,66.5835,67.2053,67.392,67.6866,67.3793,66.7183,65.115,66.4972,65.6784
setb4x,67.9748,67.7667,68.6969,66.7457,66.9294,66.746,67.9844,67.2003,68.777,69.0946,68.5725,66.7322,67.8794,68.2838,67.5342,67.9561,65.7932,66.1596,66.379,67.1943
setb4xx,66.2916,67.2484,67.3126,67.8672,64.5927,64.3168,66.5649,66.6823,66.1209,66.7468,67.1653,66.7431,66.6951,69.6738,68.2059,66.867,66.4083,67.5205,68.8195,66.945
setb4xxx,67.9889,67.4648,68.7419,68.1828,67.623,68.4991,69.3554,67.9542,68.135,68.6245,68.0677,70.5669,70.099,67.2421,67.9461,66.0041,67.0677,69.6786,67.4755,68.1651
setb4xy,66.7925,66.4562,66.9001,66.9624,67.5632,68.5761,67.6295,67.1026,67.102,67.5569,68.3837,67.8021,67.8387,66.7276,67.9599,69.4912,67.6285,67.153,67.6177,68.3064
setb4xyz,67.7699,68.0145,65.634,67.8994,67.5639,66.666,68.9205,69.6047,67.678,69.2086,68.2168,70.4042,70.3244,69.2762,67.8553,68.7062,69.1868,69.0207,67.9962,70.011
seti5c12,103.1657,104.6253,104.1011,103.5175,103.6899,103.0022,104.1,101.3557,103.4943,105.2105,103.2946,104.6659,103.2562,105.6565,105.2764,101.5566,103.0208,105.0772,102.7422,103.0103
seti5cc,102.2254,103.6654,100.095,100.9589,105.2357,101.4165,105.1242,102.4301,103.0181,101.6137,105.7714,105.7432,102.0207,102.3919,102.868,103.8481,101.9187,102.8552,101.4956,102.7598
seti5x,103.1917,104.8624,102.1583,101.1006,103.8791,103.699,101.8759,103.5667,102.6147,101.8101,105.4567,106.1753,104.4126,106.5466,104.1901,105.0739,106.1941,105.5182,105.2089,103.6349
seti5xx,105.2721,110.7565,108.2215,107.9742,107.1059,108.2464,107.8324,108.4824,108.5132,107.4562,106.0367,109.8981,109.9618,109.3164,107.9782,108.0282,109.0897,109.8382,108.5876,109.9886
seti5xxx,105.111,104.3372,106.3134,106.534,110.7965,105.5514,107.2742,107.1416,106.5119,107.0082,108.6927,104.8914,108.1916,107.6924,107.431,106.4145,108.6351,108.1244,108.1999,106.2831
seti5xy,103.4326,107.9501,105.2782,102.156,108.8271,102.8806,107.4863,106.6865,104.6763,105.7896,107.9638,108.6593,105.0237,106.6009,106.2481,105.2981,106.3631,105.0307,106.564,105.399
seti5xyz,107.5663,104.1712,105.4578,106.6607,105.6064,107.5728,103.758,106.3467,104.3295,106.2933,102.1534,102.7885,102.1955,102.4661,102.0491,100.8242,101.2566,100.7123,100.0274,99.6269
