instance_name,seed_55589,seed_97402,seed_89190,seed_25814,seed_16969,seed_31181,seed_1573,seed_64163,seed_32093,seed_62154,seed_61472,seed_90888,seed_93148,seed_60149,seed_54209,seed_7839,seed_27714,seed_17168,seed_62709,seed_26491
mt10c1,984,990,999,1006.0,997.0,994,977,992,1035.0,986,991.0,997,988,980.0,979.0,1044,989,986,982,989
mt10cc,930,948,959,966.0,941.0,951,951,965,951.0,966,951.0,982,949,967.0,937.0,942,965,981,961,983
mt10x,1013,989,971,1016.0,1005.0,997,1006,1006,1003.0,981,1006.0,1002,967,1023.0,999.0,987,967,985,988,967
mt10xx,1006,955,997,1008.0,992.0,967,992,951,1028.0,998,981.0,985,1016,1006.0,999.0,944,974,987,1027,993
mt10xxx,969,989,1014,1008.0,1005.0,955,942,1012,976.0,1002,993.0,985,967,1005.0,972.0,956,968,995,1020,997
mt10xy,976,968,982,998.0,986.0,971,947,952,988.0,980,951.0,997,970,950.0,1005.0,944,972,971,951,1001
mt10xyz,888,917,909,880.0,917.0,932,923,897,919.0,930,923.0,903,902,953.0,923.0,932,916,931,904,948
setb4c9,997,1030,1007,1032.0,1008.0,1011,1002,1033,1011.0,1018,1026.0,1006,1027,996.0,1048.0,1018,1047,1031,1000,1043
setb4cc,982,996,987,1004.0,998.0,994,991,1019,964.0,1013,998.0,1006,1000,946.0,993.0,985,979,969,972,1016
setb4x,1034,1017,1025,1017.0,1008.0,1017,1040,1019,1011.0,1034,1015.0,1056,989,1011.0,1037.0,1032,1002,1031,1010,1072
setb4xx,1038,1036,1006,1035.0,1038.0,1010,996,1052,1012.0,1009,1002.0,1021,1004,1052.0,1034.0,999,1020,1018,1045,1041
setb4xxx,996,1012,1021,1001.0,1037.0,1022,1011,1038,1005.0,1031,1002.0,1017,988,1056.0,1034.0,1034,1020,1062,1020,995
setb4xy,1003,1003,1018,1010.0,992.0,973,998,1009,996.0,992,996.0,994,1004,1012.0,968.0,981,1011,1006,1018,991
setb4xyz,975,996,1011,996.0,985.0,996,957,990,996.0,1000,1004.0,1011,979,989.0,969.0,987,989,980,970,975
seti5c12,1256,1292,1298,1305.0,1328.0,1324,1298,1306,1328.0,1275,1294.0,1299,1282,1310.0,1312.0,1332,1312,1267,1307,1272
seti5cc,1265,1289,1248,1279.0,1278.0,1285,1256,1287,1279.0,1268,1292.0,1275,1278,1267.0,1248.0,1244,1298,1278,1240,1240
seti5x,1330,1340,1354,1309.0,1304.0,1329,1351,1342,1332.0,1353,1318.0,1338,1348,1305.0,1325.0,1318,1325,1344,1354,1344
seti5xx,1305,1327,1325,1325.0,1360.0,1362,1340,1330,1299.0,1331,1315.0,1315,1322,1331.0,1287.0,1334,1360,1318,1343,1348
seti5xxx,1327,1328,1331,1330.0,1324.0,1311,1342,1333,1313.0,1326,1332.0,1309,1320,1326.0,1307.0,1311,1315,1281,1307,1301
seti5xy,1265,1289,1248,1279.0,1278.0,1285,1256,1287,1279.0,1268,1292.0,1275,1278,1267.0,1248.0,1244,1298,1278,1240,1240
seti5xyz,1235,1257,1260,1269.0,1238.0,1251,1268,1253,1261.0,1239,1247.0,1248,1232,1259.0,1254.0,1283,1255,1201,1224,1250
