instance_name,seed_55589,seed_97402,seed_89190,seed_25814,seed_16969,seed_31181,seed_1573,seed_64163,seed_32093,seed_62154,seed_61472,seed_90888,seed_93148,seed_60149,seed_54209,seed_7839,seed_27714,seed_17168,seed_62709,seed_26491
mt10c1,1000,982,989,1016,998,1000,1005,981,989,1007,977,985,938,1002,984,1034,987,999,971,1018
mt10cc,967,978,997,1000,979,997,983,982,1003,985,959,954,959,976,1016,989,984,951,964,976
mt10x,970,982,970,1027,977,991,1014,971,1030,1008,1002,1002,998,1046,977,970,974,1036,971,985
mt10xx,1035,994,971,998,995,970,995,1025,994,969,951,1010,967,991,970,1011,998,1039,998,1004
mt10xxx,967,989,985,967,998,983,999,1001,976,1039,1020,987,958,1038,993,988,955,1028,1023,979
mt10xy,983,985,981,978,962,996,986,958,972,970,958,967,990,1007,966,951,951,973,955,998
mt10xyz,919,915,890,891,919,913,891,920,957,894,908,943,941,911,858,927,918,947,912,906
setb4c9,1007,1018,986,1026,1014,992,1007,1032,1010,1016,1055,1036,1027,1010,1053,1041,1007,1069,1030,1028
setb4cc,1029,1005,1005,1011,1021,982,990,998,993,1006,1018,1005,965,998,1031,1011,1034,996,1003,1001
setb4x,1044,1023,1052,1012,1069,1061,1025,1048,1049,1038,1040,1029,1020,1024,1004,1005,1033,1019,1034,1008
setb4xx,992,1026,997,1051,1049,1018,999,1052,1010,995,1027,1036,1026,1017,1056,1036,1024,981,1032,1033
setb4xxx,1003,1021,1027,1044,1037,1006,996,1024,1008,1029,1009,1016,1018,1035,1029,1000,1010,1041,1037,1001
setb4xy,969,1014,988,1000,997,1010,1078,971,1000,1034,1035,1000,996,1022,1017,1033,1030,978,1023,1055
setb4xyz,988,992,961,994,1021,984,987,996,986,977,970,982,984,1011,1013,966,1021,1013,992,1039
seti5c12,1296,1274,1280,1308,1311,1333,1327,1309,1325,1359,1330,1290,1332,1283,1306,1286,1316,1308,1306,1317
seti5cc,1278,1276,1264,1258,1311,1299,1234,1236,1269,1274,1285,1300,1271,1235,1255,1243,1250,1273,1265,1310
seti5x,1359,1315,1305,1308,1315,1281,1322,1325,1332,1282,1349,1364,1348,1363,1309,1334,1315,1361,1344,1334
seti5xx,1347,1376,1295,1344,1330,1297,1289,1317,1320,1346,1310,1336,1341,1363,1354,1341,1350,1319,1318,1352
seti5xxx,1314,1319,1320,1313,1335,1359,1335,1293,1296,1352,1304,1352,1312,1347,1326,1345,1317,1307,1353,1282
seti5xy,1278,1276,1264,1258,1311,1299,1234,1236,1269,1274,1285,1300,1271,1235,1255,1243,1250,1273,1265,1310
seti5xyz,1286,1241,1258,1276,1255,1239,1309,1205,1238,1259,1243,1244,1237,1275,1272,1223,1235,1244,1232,1260
