instance_name,seed_55589,seed_97402,seed_89190,seed_25814,seed_16969,seed_31181,seed_1573,seed_64163,seed_32093,seed_62154,seed_61472,seed_90888,seed_93148,seed_60149,seed_54209,seed_7839,seed_27714,seed_17168,seed_62709,seed_26491
mt10c1,27.4079,28.483,28.4077,27.9074,27.8119,27.6989,27.1779,26.7221,27.9233,25.4549,27.6623,27.0249,27.2014,28.6175,25.4179,28.1904,27.5887,25.7686,28.3594,25.4543
mt10cc,32.6036,32.1412,32.1675,29.9477,31.377,30.6298,32.9253,31.1995,32.7651,32.794,34.1487,33.5096,33.6612,31.577,34.4061,33.3771,33.5921,32.3338,34.2097,33.3873
mt10x,39.8953,39.1629,38.9022,39.9148,38.9388,38.6486,40.1111,38.8701,38.3792,38.8909,39.0305,39.0446,38.7045,38.7142,38.8854,39.7914,39.6895,39.9678,38.9608,40.1105
mt10xx,39.2712,39.4873,39.744,39.5374,38.4351,39.4738,39.2713,39.1783,38.9415,39.4783,39.7439,38.9604,39.3566,39.7999,39.4759,39.5307,39.0887,39.4933,39.8014,39.0937
mt10xxx,40.2047,40.3469,39.8014,39.8278,39.679,39.3681,40.3617,40.0101,39.4398,39.9585,39.0302,39.4782,39.7501,39.7391,39.8617,40.0189,38.9433,39.605,40.3636,39.7297
mt10xy,39.1908,39.1986,38.8055,39.18,38.7172,39.4025,38.7969,39.0398,38.4381,38.7616,38.8108,38.9529,38.8342,38.6414,38.8922,38.9524,39.3424,39.2451,38.9791,39.0703
mt10xyz,37.8443,38.7956,38.3714,38.2881,38.1083,38.6251,38.4514,37.6835,38.3973,37.9261,37.9164,37.8264,38.106,38.5515,38.1703,38.0356,37.2506,38.2146,38.1495,37.6439
setb4c9,60.1418,60.5089,57.297,58.0802,57.891,58.1767,58.4235,59.6297,58.1212,59.2033,59.4075,59.2672,58.4822,59.2094,58.597,58.8334,59.1308,60.4429,58.8245,58.4454
setb4cc,56.1241,56.9063,56.2061,55.1482,56.1077,54.9914,56.6936,56.4776,56.4493,56.9124,55.9473,56.6405,56.9953,56.5015,55.5524,57.2081,57.3304,56.7598,57.0011,56.748
setb4x,58.0449,57.2584,58.641,58.0907,57.2894,57.7587,58.4792,58.367,56.5727,57.9423,58.3134,57.3446,58.5593,58.0761,58.211,57.2717,57.8809,58.5624,57.915,59.2476
setb4xx,58.6812,58.033,56.6317,58.2292,58.8086,57.7526,56.4424,58.7134,58.2639,57.8528,57.4585,58.4865,58.3152,57.6931,58.2759,56.5751,55.9721,56.1432,57.0529,58.1635
setb4xxx,57.9282,56.7799,58.72,57.3805,58.5494,57.8996,58.1833,58.162,57.3771,56.6062,57.7775,57.7649,58.5021,57.5459,57.2039,58.0022,57.6535,57.3141,59.0577,58.4162
setb4xy,55.2646,57.1147,55.9158,57.6136,57.1342,58.0263,58.3277,56.504,57.0517,56.9063,57.7457,56.7252,57.3429,57.7243,58.1412,58.454,58.9377,57.9783,58.0571,58.0269
setb4xyz,61.1561,60.7333,60.9386,60.0713,61.7239,61.7731,62.2147,61.0547,62.542,62.7839,59.9334,60.5738,62.3236,61.6106,61.5379,62.4862,62.1081,61.4526,59.743,60.8718
seti5c12,90.1857,89.9154,91.0909,91.5098,91.5336,92.3429,92.4788,91.7379,91.4863,91.699,91.3893,90.96,91.0904,88.2593,90.1533,90.1273,91.8751,90.3501,91.0756,90.945
seti5cc,90.755,92.0539,91.1381,90.2053,92.056,92.2141,90.9337,91.8439,91.1405,90.772,92.1181,91.8259,90.7325,90.8843,90.7944,90.3437,91.7663,91.7285,90.8809,90.7286
seti5x,90.7731,89.7305,89.5862,90.2882,89.5893,89.6545,89.7562,90.059,89.9715,91.4719,90.5277,90.5079,89.9237,89.4093,90.0875,89.8575,88.9643,89.2991,89.6389,90.3035
seti5xx,92.949,94.1109,94.4121,95.7082,94.4271,94.0482,94.6032,95.5281,94.2185,94.0235,94.9249,96.4856,93.7054,94.5831,96.5445,94.3003,96.4699,95.2352,95.2438,95.8887
seti5xxx,92.7211,92.1594,92.2803,92.3069,92.9849,92.6119,92.7612,92.7685,89.5394,92.6518,91.9309,91.8871,92.3505,90.564,91.7005,90.7203,91.0742,89.8258,90.3006,92.6687
seti5xy,92.6392,92.7833,91.7018,92.063,93.5543,92.7773,92.2775,93.4481,90.8841,92.5961,94.0054,93.5635,91.8876,91.2196,93.5286,93.3872,93.2717,92.0054,91.8528,93.4102
seti5xyz,92.6221,92.8463,93.0364,94.8667,93.718,92.9028,93.6012,93.3115,93.34,92.1911,92.984,93.5308,92.766,92.8309,92.4071,91.9432,92.3081,91.7696,91.9796,86.9233
