instance_name,seed_55589,seed_97402,seed_89190,seed_25814,seed_16969,seed_31181,seed_1573,seed_64163,seed_32093,seed_62154,seed_61472,seed_90888,seed_93148,seed_60149,seed_54209,seed_7839,seed_27714,seed_17168,seed_62709,seed_26491
mt10c1,957,982,999,1019,1006.0,985.0,990,1007,974,983,997,997,977,941.0,1037,1020,979,986,961,1020
mt10cc,930,954,978,997,948.0,964.0,979,964,952,937,984,969,946,984.0,946,992,950,981,997,951
mt10x,1013,967,985,974,980.0,997.0,1011,1016,1003,998,995,1002,967,976.0,987,956,977,1003,1027,999
mt10xx,980,970,979,964,965.0,997.0,985,949,997,998,962,1007,971,989.0,976,975,983,971,1006,996
mt10xxx,972,989,965,991,1005.0,997.0,970,972,1016,998,972,1002,971,968.0,999,955,959,1011,1027,981
mt10xy,935,967,989,997,974.0,955.0,962,971,971,976,968,997,958,951.0,948,967,947,961,1000,981
mt10xyz,906,897,939,894,917.0,930.0,901,920,907,927,896,900,914,924.0,922,928,890,914,912,916
setb4c9,1044,1016,1006,1010,1049.0,1011.0,1016,1022,1034,998,1030,1024,985,1008.0,1013,1006,1032,1005,1025,1009
setb4cc,995,982,990,986,1008.0,998.0,969,987,997,1019,967,991,987,972.0,975,1014,1004,988,980,985
setb4x,1053,1036,1035,1030,1009.0,1007.0,1008,1042,1028,1013,1024,1037,1011,985.0,1020,1037,1035,1019,1059,1064
setb4xx,1044,1032,1020,1035,1047.0,1027.0,1000,1028,996,1031,1024,985,1001,1040.0,1013,999,1025,1027,1013,1016
setb4xxx,1018,1036,1017,1007,1023.0,1000.0,1019,1019,1037,1023,1025,1030,1021,990.0,1028,1014,1012,1030,1022,1009
setb4xy,979,1001,1030,1006,1023.0,1025.0,989,1009,1005,1013,1002,1010,984,1012.0,1004,1014,1007,976,1002,1003
setb4xyz,959,991,1000,996,999.0,984.0,987,965,998,978,1007,985,968,977.0,975,987,989,987,957,1001
seti5c12,1283,1327,1293,1280,1317.0,1296.0,1303,1316,1320,1333,1280,1315,1295,1291.0,1308,1318,1307,1325,1289,1296
seti5cc,1237,1287,1266,1265,1275.0,1259.0,1264,1253,1280,1248,1263,1313,1260,1287.0,1268,1248,1249,1261,1274,1281
seti5x,1275,1310,1357,1338,1347.0,1321.0,1358,1318,1330,1361,1303,1328,1322,1314.0,1325,1370,1332,1318,1366,1332
seti5xx,1305,1320,1316,1308,1315.0,1366.0,1342,1328,1279,1345,1322,1315,1357,1338.0,1310,1330,1299,1315,1326,1332
seti5xxx,1333,1313,1304,1327,1301.0,1294.0,1339,1322,1303,1286,1363,1354,1324,1325.0,1313,1318,1311,1325,1311,1343
seti5xy,1237,1287,1266,1265,1275.0,1259.0,1264,1253,1280,1248,1263,1313,1260,1287.0,1268,1248,1249,1261,1274,1281
seti5xyz,1255,1263,1257,1248,1242.0,1284.0,1252,1237,1242,1256,1225,1253,1220,1257.0,1220,1212,1238,1213,1236,1224
