instance_name,seed_55589,seed_97402,seed_89190,seed_25814,seed_16969,seed_31181,seed_1573,seed_64163,seed_32093,seed_62154,seed_61472,seed_90888,seed_93148,seed_60149,seed_54209,seed_7839,seed_27714,seed_17168,seed_62709,seed_26491
mt10c1,1078,1076,1059,1069,1075,1071,1046,1064,1074,1059,1097,1095,1074,1090,1098,1079,1040,1083,1062,1070
mt10cc,1026,1048,999,1013,1041,1020,1011,1014,1009,1004,1040,1029,1010,1050,1029,1026,1026,1015,1039,1020
mt10x,1095,1045,1062,1080,1062,1075,1048,1077,1066,1059,1081,1084,1084,1067,1111,1071,1055,1087,1074,1048
mt10xx,1085,1059,1062,1080,1062,1075,1048,1085,1100,1059,1091,1084,1104,1104,1070,1071,1075,1081,1065,1048
mt10xxx,1090,1045,1062,1080,1062,1075,1048,1071,1066,1067,1081,1084,1084,1067,1111,1071,1083,1087,1074,1048
mt10xy,1049,990,1049,1036,1021,1037,1019,1001,1048,1047,1021,1008,1022,1029,1014,1035,1020,1040,994,1038
mt10xyz,950,943,940,925,939,930,928,932,943,943,916,945,930,899,939,922,930,922,942,948
setb4c9,1099,1084,1078,1092,1109,1116,1084,1115,1099,1085,1093,1096,1086,1104,1106,1098,1109,1085,1100,1087
setb4cc,1012,1062,1073,1070,1064,1049,1038,1089,1060,1070,1049,1050,1043,1067,1079,1038,1087,1069,1045,1075
setb4x,1095,1098,1091,1106,1108,1115,1080,1076,1118,1087,1097,1109,1100,1082,1099,1091,1092,1112,1097,1106
setb4xx,1095,1100,1047,1101,1063,1061,1111,1076,1100,1087,1101,1115,1095,1104,1099,1089,1092,1099,1097,1106
setb4xxx,1095,1098,1091,1106,1108,1115,1080,1076,1117,1087,1097,1109,1089,1082,1099,1091,1092,1112,1097,1106
setb4xy,1065,1056,1067,1059,1036,1071,1052,1068,1051,1079,1063,1061,1029,1046,1076,1080,1076,1081,1047,1046
setb4xyz,1055,1042,1027,1029,1020,1037,999,1019,1051,1029,1060,1036,1029,1034,1056,1034,1036,1046,1027,1018
seti5c12,1374,1410,1399,1393,1330,1422,1376,1395,1380,1403,1398,1372,1369,1336,1348,1414,1376,1382,1389,1384
seti5cc,1312,1324,1337,1307,1352,1322,1347,1315,1325,1341,1325,1338,1341,1342,1320,1335,1349,1346,1326,1333
seti5x,1386,1397,1425,1378,1394,1384,1388,1398,1403,1390,1362,1403,1394,1415,1400,1378,1385,1382,1370,1400
seti5xx,1391,1397,1382,1401,1365,1384,1388,1398,1398,1390,1413,1403,1399,1404,1397,1378,1401,1382,1416,1412
seti5xxx,1386,1397,1392,1378,1365,1384,1388,1398,1383,1390,1413,1403,1394,1411,1400,1378,1344,1382,1392,1400
seti5xy,1312,1324,1337,1307,1352,1322,1347,1315,1325,1341,1325,1338,1341,1342,1320,1335,1349,1346,1326,1333
seti5xyz,1278,1280,1275,1292,1304,1298,1270,1274,1256,1305,1306,1294,1294,1281,1303,1282,1284,1319,1286,1324
