instance_name,GA_mean,AO_mean,wilcoxon_symbol,p_value,statistic,num_seeds
mt10c1,1072.95,990.85,+,4.404e-05,0.0,20
mt10cc,1023.45,965.15,+,4.416e-05,0.0,20
mt10x,1071.55,991.65,+,4.373e-05,0.0,20
mt10xx,1075.4,981.0,+,9.5e-07,0.0,20
mt10xxx,1072.8,986.0,+,4.416e-05,0.0,20
mt10xy,1025.9,968.75,+,5.16e-05,1.0,20
mt10xyz,933.3,912.7,+,0.00041823,12.0,20
setb4c9,1096.25,1017.15,+,4.41e-05,0.0,20
setb4cc,1059.45,989.7,+,4.41e-05,0.0,20
setb4x,1097.95,1027.6,+,4.416e-05,0.0,20
setb4xx,1091.9,1020.15,+,4.422e-05,0.0,20
setb4xxx,1097.35,1019.0,+,4.416e-05,0.0,20
setb4xy,1060.45,1004.7,+,4.41e-05,0.0,20
setb4xyz,1034.2,984.5,+,4.373e-05,0.0,20
seti5c12,1382.5,1304.6,+,4.422e-05,0.0,20
seti5cc,1331.85,1266.9,+,4.397e-05,0.0,20
seti5x,1391.6,1331.25,+,4.416e-05,0.0,20
seti5xx,1394.95,1323.4,+,4.422e-05,0.0,20
seti5xxx,1388.9,1320.45,+,4.416e-05,0.0,20
seti5xy,1331.85,1266.9,+,4.397e-05,0.0,20
seti5xyz,1290.25,1241.7,+,4.416e-05,0.0,20
