instance_name,seed_55589,seed_97402,seed_89190,seed_25814,seed_16969,seed_31181,seed_1573,seed_64163,seed_32093,seed_62154,seed_61472,seed_90888,seed_93148,seed_60149,seed_54209,seed_7839,seed_27714,seed_17168,seed_62709,seed_26491
mt10c1,982,1017.0,990,1015.0,982.0,957.0,974,1006,1007,994,1004,1002,1000,955,984,1048,976,986,1036,992
mt10cc,930,954.0,949,971.0,961.0,954.0,959,981,951,946,966,965,974,949,951,952,941,981,960,979
mt10x,1021,977.0,989,991.0,985.0,997.0,977,965,1003,1003,975,1007,967,978,982,955,971,1010,1027,1001
mt10xx,972,967.0,973,967.0,974.0,997.0,998,963,1021,981,1006,983,959,1005,1001,1007,993,967,1027,1022
mt10xxx,983,987.0,963,955.0,998.0,978.0,983,982,1003,998,983,1007,967,972,964,981,958,1011,971,981
mt10xy,958,966.0,1004,973.0,967.0,951.0,944,974,971,975,954,969,982,951,965,967,970,970,974,954
mt10xyz,919,918.0,920,892.0,919.0,910.0,902,932,910,903,919,900,913,915,923,880,901,910,914,907
setb4c9,988,1024.0,1019,1005.0,1025.0,1011.0,1032,1032,1065,1004,1025,1035,991,1035,1004,1013,1038,1019,1054,1037
setb4cc,1021,998.0,1005,975.0,1028.0,998.0,977,991,1038,978,1012,991,970,972,987,978,991,1007,995,1018
setb4x,1036,1044.0,1028,1014.0,1024.0,1014.0,979,1028,1025,1023,1005,1046,992,1008,1023,1027,992,1033,1062,1065
setb4xx,1044,1004.0,1025,1010.0,1041.0,1037.0,1005,1026,996,998,1015,1009,1011,1040,986,998,1007,1010,1014,1045
setb4xxx,1032,1014.0,1025,1006.0,1036.0,1012.0,1048,1019,1012,1010,1025,1017,1035,1061,1018,1034,1002,1036,1008,1027
setb4xy,978,995.0,1002,1006.0,1020.0,1016.0,1019,982,992,1035,1020,1043,1010,999,980,985,1020,1000,1023,1057
setb4xyz,1006,997.0,1014,982.0,1000.0,972.0,1005,958,989,998,988,1009,963,977,979,966,965,990,1000,984
seti5c12,1250,1327.0,1322,1282.0,1296.0,1310.0,1308,1326,1319,1249,1305,1315,1271,1311,1303,1309,1244,1288,1335,1316
seti5cc,1251,1273.0,1215,1283.0,1283.0,1287.0,1235,1259,1286,1284,1287,1287,1247,1258,1259,1254,1281,1267,1286,1244
seti5x,1315,1346.0,1319,1326.0,1325.0,1318.0,1296,1322,1338,1356,1306,1318,1315,1358,1325,1353,1279,1311,1357,1365
seti5xx,1314,1344.0,1305,1314.0,1308.0,1360.0,1322,1308,1298,1327,1345,1287,1346,1328,1289,1318,1300,1290,1306,1273
seti5xxx,1324,1318.0,1312,1327.0,1307.0,1312.0,1297,1319,1302,1299,1301,1329,1318,1300,1289,1318,1306,1334,1342,1308
seti5xy,1251,1273.0,1215,1283.0,1283.0,1287.0,1235,1259,1286,1284,1287,1287,1247,1258,1259,1254,1281,1267,1286,1244
seti5xyz,1264,1211.0,1239,1243.0,1241.0,1287.0,1249,1230,1237,1241,1249,1282,1244,1286,1243,1197,1235,1242,1247,1265
