instance_name,seed_1573,seed_7839,seed_16969,seed_17168,seed_25814,seed_26491,seed_27714,seed_31181,seed_32093,seed_54209,seed_55589,seed_60149,seed_61472,seed_62154,seed_62709,seed_64163,seed_89190,seed_90888,seed_93148,seed_97402
mt10c1,8.7868,8.7343,9.2573,9.3333,9.2163,8.7428,8.8133,8.7628,9.2568,9.3373,9.3493,8.7253,8.7553,9.2843,8.6823,9.2938,8.7363,8.7343,9.2653,8.8313
mt10cc,8.7222,8.7847,9.2112,9.2472,9.3558,9.2742,9.3032,8.7162,8.6852,8.7812,9.2268,8.7142,8.7582,8.7162,9.2162,8.7312,9.2603,9.2762,8.7732,8.8008
mt10x,9.2062,8.7362,9.3172,8.7057,9.1932,9.1847,8.6677,9.1902,8.6537,8.7752,9.2082,8.7142,8.7752,8.5737,8.6642,9.2462,8.5737,8.6872,9.2382,8.6922
mt10xx,9.2842,8.7282,9.2812,8.7892,9.2602,8.7622,8.7622,9.3152,9.3062,8.7912,8.7862,8.6842,9.2997,9.2622,8.7632,9.2862,8.8032,9.2842,8.6502,9.3392
mt10xxx,9.3367,9.4042,9.3052,8.8084,8.8592,8.7944,8.9524,8.7162,9.3622,9.4062,9.4427,9.2812,9.4232,9.3352,8.7534,9.3652,8.7902,9.3642,9.4327,8.7112
mt10xy,8.8219,9.3149,8.7504,9.2474,8.7494,9.3254,9.3359,8.7594,8.7774,9.2914,8.7854,9.2754,9.2459,9.1024,9.3774,9.3844,8.7204,9.2914,9.3374,8.7424
mt10xyz,8.7964,8.8604,8.8714,9.2944,8.8124,9.3514,9.2974,8.7404,9.0429,9.332,8.7874,8.8444,8.8924,9.0999,9.0724,8.8074,8.7704,9.1159,9.445,9.0009
setb4c9,13.358,14.1465,13.392,14.331,14.2223,14.108,13.309,13.386,13.276,14.1725,14.1433,13.389,13.358,13.29,13.307,13.297,14.1258,13.338,14.2445,14.2398
setb4cc,14.2257,13.4053,14.1486,13.8203,14.1801,13.8359,13.363,14.2172,13.3732,13.3303,13.402,13.4403,13.4693,13.4753,14.203,14.1912,14.2046,13.4383,13.3187,14.1016
setb4x,14.2166,13.4817,14.1999,13.3832,14.3089,13.3547,13.4267,14.2016,14.2624,13.3657,14.052,13.2681,14.1774,14.3119,13.3517,14.2081,13.3481,14.2479,13.4847,13.2955
setb4xx,13.4152,14.2305,14.0414,13.3138,14.324,13.4514,13.3688,14.277,13.4741,14.308,13.4687,14.243,14.2753,14.2478,13.4244,14.4729,14.2375,14.2368,14.3005,13.5167
setb4xxx,13.5342,14.314,13.4493,14.3764,13.6549,14.3344,14.3999,13.5152,14.3574,14.3335,13.5954,14.348,14.2219,14.4124,14.2694,14.3194,13.5904,13.4898,14.4595,13.7714
setb4xy,13.2896,14.1275,13.5036,14.213,13.3151,14.1295,14.4026,13.3921,13.5577,13.3953,13.4681,14.3325,13.3742,13.2997,14.1715,13.4426,13.4201,14.181,14.2855,13.5606
setb4xyz,12.5895,10.5877,12.6655,10.4722,13.7343,10.3131,10.3137,12.7655,12.5855,11.1699,13.5733,11.7721,12.6145,12.5265,10.3366,12.561,13.4647,12.3759,12.2637,13.5648
