instance_name,seed_55589,seed_97402,seed_89190,seed_25814,seed_16969,seed_31181,seed_1573,seed_64163,seed_32093,seed_62154,seed_61472,seed_90888,seed_93148,seed_60149,seed_54209,seed_7839,seed_27714,seed_17168,seed_62709,seed_26491
mt10c1,13.362,13.3369,13.1334,14.0639,13.0539,13.5269,13.3054,13.3809,13.2704,14.1365,13.9699,13.9889,14.1105,13.3729,14.045,14.406,13.988,13.2184,14.363,13.4259
mt10cc,14.2025,14.403,14.1565,13.4129,13.263,13.4531,13.417,13.307,13.212,13.212,13.1465,13.1945,14.006,13.238,13.2205,13.1595,13.978,14.1895,14.0255,14.0915
mt10x,13.1525,13.8595,14.002,13.962,13.937,14.038,14.2655,14.1135,13.1925,13.4455,13.2265,13.1895,13.411,13.1865,13.1965,13.209,13.186,13.6485,13.1845,13.1905
mt10xx,14.1395,14.23,14.0605,13.5675,14.2155,14.1545,14.2045,14.239,14.1045,14.0895,14.048,14.0635,13.1678,13.4958,13.4918,13.4983,13.2503,13.3023,13.3748,13.4919
mt10xxx,13.3508,13.2663,14.2185,13.5295,13.9495,13.4869,14.1685,14.004,14.1115,14.1195,14.213,14.228,14.4365,13.9745,14.3115,14.2651,13.5067,15.3722,13.3507,15.3827
mt10xy,14.2097,13.1447,15.1222,13.2857,13.3047,13.3156,13.3785,14.0075,15.1311,13.4425,13.572,14.1481,15.0246,13.7286,13.344,14.1016,14.1061,14.1645,13.9925,14.0325
mt10xyz,13.485,13.306,13.3331,13.1925,13.249,13.4862,13.3419,14.1004,13.4229,13.2634,14.0494,13.8952,14.1534,14.2324,13.3469,14.0429,13.1244,14.0625,14.1977,14.1587
setb4c9,21.9188,21.9298,22.2885,20.596,20.7875,20.8465,20.6324,20.6539,20.7224,21.3101,20.7404,21.8707,20.8447,21.3855,20.7432,20.9957,22.1603,21.5096,20.5952,22.2835
setb4cc,22.4261,22.3115,22.2059,22.2274,20.7213,21.8025,22.0776,21.8635,20.8835,20.8995,21.0346,20.877,20.8775,20.7054,22.0994,20.7034,20.7533,20.8133,22.1329,20.7543
setb4x,20.9514,21.5786,21.7077,21.7027,21.6388,21.5402,21.7603,21.5502,20.7418,21.5284,21.5539,21.721,20.7909,20.4938,20.3487,20.4142,20.8023,20.8323,20.4816,21.6519
setb4xx,20.7712,20.8002,20.6626,20.5535,21.8507,21.7162,21.8167,21.7872,21.9798,21.9202,21.8212,22.0553,20.7401,21.589,21.8106,21.9026,20.743,20.714,20.709,20.549
setb4xxx,20.7795,20.9056,20.7526,20.5986,20.7192,20.7617,22.1058,20.7863,21.9218,22.0314,21.7578,21.7913,21.7949,22.1529,22.0174,22.2164,20.9352,21.7725,22.3161,21.9435
setb4xy,20.4416,20.6132,20.6572,20.5602,20.3927,20.4443,20.5548,20.4258,20.5793,20.3802,20.4858,21.9722,21.9186,21.6495,21.5909,21.8219,21.878,21.6684,21.933,21.9685
setb4xyz,20.5708,20.3124,20.1689,20.1404,19.3472,18.9425,18.7735,18.812,19.0535,18.6463,18.3292,17.9171,17.7839,17.9439,17.6944,16.2522,15.4193,15.1881,14.7455,14.0795
