instance_name,seed_55589,seed_97402,seed_89190,seed_25814,seed_16969,seed_31181,seed_1573,seed_64163,seed_32093,seed_62154,seed_61472,seed_90888,seed_93148,seed_60149,seed_54209,seed_7839,seed_27714,seed_17168,seed_62709,seed_26491
mt10c1,993,997,1003,991,984,984,985,1010,989,977,992,996,976,966,1037,982,981,982,1001,994
mt10cc,930,951,970,971,961,979,954,979,962,941,961,975,932,1006,951,992,959,966,960,994
mt10x,1018,989,996,974,970,997,1007,984,1015,999,989,1001,997,997,1003,967,970,1018,1009,1023
mt10xx,1022,967,971,994,1005,997,958,967,1027,969,1006,964,967,974,978,1000,994,982,1018,1043
mt10xxx,983,997,1014,971,998,997,991,962,1016,990,1007,997,967,995,999,970,970,1002,1027,973
mt10xy,984,971,974,989,976,981,966,997,971,950,977,976,951,974,974,980,958,970,1009,984
mt10xyz,903,894,919,909,939,912,902,924,875,894,903,907,915,906,912,913,901,923,933,883
setb4c9,1043,1027,1028,1001,1032,1011,1032,1023,1065,1023,998,1022,1007,999,1049,1006,983,1005,1008,1020
setb4cc,1014,1006,993,975,1036,1002,991,987,1014,1006,993,999,995,977,987,980,1011,996,992,990
setb4x,1049,1021,1035,1033,1023,1017,1032,1030,991,1011,981,1053,998,996,993,1018,1012,1025,1036,1039
setb4xx,1036,1032,1024,1020,1035,1018,1032,1039,1034,1011,1006,1002,1005,1044,994,1044,1038,1022,1017,1002
setb4xxx,1044,1036,1025,1008,1032,1013,1067,998,993,1009,1042,1016,1023,1059,1005,1023,1030,1031,1017,1063
setb4xy,990,1008,996,1000,1022,988,991,1000,1001,1016,987,984,1008,1018,995,1002,1010,1005,999,1036
setb4xyz,971,1005,1014,996,965,974,989,980,983,980,981,989,976,977,991,987,1009,994,972,1029
seti5c12,1275,1327,1273,1306,1322,1332,1324,1302,1293,1265,1324,1279,1300,1336,1270,1314,1272,1282,1318,1292
seti5cc,1253,1267,1258,1285,1273,1264,1260,1260,1266,1275,1275,1254,1277,1290,1253,1264,1266,1242,1289,1282
seti5x,1309,1346,1320,1338,1349,1307,1357,1350,1321,1317,1318,1343,1324,1331,1325,1313,1317,1318,1341,1338
seti5xx,1317,1368,1337,1319,1345,1323,1303,1353,1303,1327,1319,1310,1326,1322,1321,1304,1327,1312,1336,1329
seti5xxx,1324,1330,1309,1327,1315,1348,1333,1315,1287,1327,1310,1308,1327,1340,1289,1318,1297,1315,1336,1319
seti5xy,1253,1267,1258,1285,1273,1264,1260,1260,1266,1275,1275,1254,1277,1290,1253,1264,1266,1242,1289,1282
seti5xyz,1279,1269,1274,1261,1229,1277,1250,1230,1272,1204,1280,1251,1247,1252,1237,1257,1228,1223,1220,1276
