instance_name,seed_55589,seed_97402,seed_89190,seed_25814,seed_16969,seed_31181,seed_1573,seed_64163,seed_32093,seed_62154,seed_61472,seed_90888,seed_93148,seed_60149,seed_54209,seed_7839,seed_27714,seed_17168,seed_62709,seed_26491
mt10c1,995.0,1002.0,1012,1008,984,989,982,1035,994,977,998,989,976,971,1015.0,982,981,986,985.0,977.0
mt10cc,930.0,951.0,941,997,967,979,954,947,962,941,986,981,931,998,951.0,982,934,964,949.0,972.0
mt10x,1013.0,989.0,986,974,991,997,972,991,1010,1000,993,1007,967,970,970.0,955,967,1010,1027.0,1013.0
mt10xx,1021.0,982.0,987,994,989,997,970,969,1008,964,1000,1007,973,974,978.0,1000,974,972,1027.0,972.0
mt10xxx,986.0,997.0,963,1004,992,997,995,975,1016,999,1009,1002,967,985,1009.0,970,970,1007,1027.0,981.0
mt10xy,971.0,971.0,981,989,976,998,937,969,982,976,983,983,984,974,979.0,980,970,970,1009.0,967.0
mt10xyz,916.0,891.0,934,887,939,905,909,917,869,912,896,893,916,924,925.0,900,901,922,903.0,926.0
setb4c9,1002.0,1019.0,1009,1006,994,1011,1010,1022,1025,1022,1015,1015,1007,1021,1039.0,1006,1053,992,999.0,1021.0
setb4cc,1005.0,1006.0,977,967,1036,975,959,1006,1004,1002,998,991,995,972,987.0,1007,991,975,982.0,990.0
setb4x,1036.0,1029.0,1032,1014,1023,1030,1009,1035,1002,1010,1014,1053,998,1012,993.0,1024,1015,1040,1036.0,1046.0
setb4xx,1038.0,1032.0,1020,1014,1032,1028,1016,1051,1006,1009,1027,994,987,968,1040.0,1048,1032,1012,1014.0,1003.0
setb4xxx,1055.0,1014.0,1025,1014,1028,1000,1053,1039,999,1015,1027,992,1019,991,1023.0,994,1028,1016,1010.0,1064.0
setb4xy,994.0,1020.0,1000,1001,1014,981,991,999,1000,1026,1014,983,1008,1012,995.0,1019,1009,994,999.0,1008.0
setb4xyz,971.0,957.0,1012,1006,1007,974,968,972,999,988,975,970,959,975,991.0,1004,988,994,970.0,985.0
seti5c12,1283.0,1298.0,1282,1269,1298,1332,1308,1302,1313,1261,1301,1289,1300,1291,1283.0,1313,1249,1275,1291.0,1253.0
seti5cc,1236.0,1272.0,1259,1292,1285,1279,1288,1260,1247,1275,1234,1246,1277,1286,1263.0,1254,1266,1254,1277.0,1282.0
seti5x,1306.0,1332.0,1340,1338,1337,1302,1352,1341,1328,1329,1297,1332,1337,1358,1325.0,1313,1331,1330,1320.0,1357.0
seti5xx,1314.0,1322.0,1324,1321,1367,1343,1324,1313,1302,1306,1303,1334,1330,1328,1321.0,1304,1328,1328,1303.0,1335.0
seti5xxx,1327.0,1351.0,1323,1327,1335,1330,1344,1286,1302,1319,1323,1312,1313,1332,1289.0,1318,1314,1333,1337.0,1319.0
seti5xy,1236.0,1272.0,1259,1292,1285,1279,1288,1260,1247,1275,1234,1246,1277,1286,1263.0,1254,1266,1254,1277.0,1282.0
seti5xyz,1253.0,1279.0,1274,1240,1266,1215,1250,1237,1272,1241,1250,1262,1231,1269,1237.0,1240,1271,1210,1228.0,1268.0
