instance_name,GA_mean,AO_mean,wilcoxon_symbol,p_value,statistic,num_seeds
mt10c1,980.4,990.85,=,0.1402746795029888,65.5,20
mt10cc,956.5,965.15,+,0.047702205972666466,52.0,20
mt10x,980.95,991.65,=,0.07924319938649121,58.0,20
mt10xx,974.15,981.0,=,0.09650719319172976,60.5,20
mt10xxx,987.65,986.0,=,0.8372726186450064,99.5,20
mt10xy,969.55,968.75,=,0.903830108496317,92.0,20
mt10xyz,908.25,912.7,=,0.38006495204087654,81.5,20
setb4c9,1011.05,1017.15,=,0.18480040678555587,69.5,20
setb4cc,994.9,989.7,=,0.17876677175678968,69.0,20
setb4x,1016.1,1027.6,+,0.005325937486395846,30.5,20
setb4xx,1010.5,1020.15,=,0.05923428056081466,54.5,20
setb4xxx,1011.7,1019.0,=,0.08240885721990443,58.5,20
setb4xy,995.15,1004.7,+,0.02752632706001189,46.0,20
setb4xyz,983.55,984.5,=,0.5729358569653564,81.0,20
