instance_name,GA_mean,AO_mean,wilcoxon_symbol,p_value,statistic,num_seeds
mt10c1,8.299415,12.304948925971985,+,1.9073486328125e-06,0.0,20
mt10cc,8.321189999999998,12.306238925457,+,1.9073486328125e-06,0.0,20
mt10x,8.439025,12.18478307723999,+,1.9073486328125e-06,0.0,20
mt10xx,8.57214,12.250477039813996,+,1.9073486328125e-06,0.0,20
mt10xxx,8.56634,12.474479341506958,+,1.9073486328125e-06,0.0,20
mt10xy,8.4588,12.296240091323853,+,1.9073486328125e-06,0.0,20
mt10xyz,8.372835,12.397635316848755,+,1.9073486328125e-06,0.0,20
setb4c9,13.178224999999998,19.46643497943878,+,1.9073486328125e-06,0.0,20
setb4cc,13.215814999999997,19.453198933601378,+,1.9073486328125e-06,0.0,20
setb4x,13.547389999999998,19.416563320159913,+,1.9073486328125e-06,0.0,20
setb4xx,13.533895000000001,19.50898931026459,+,1.9073486328125e-06,0.0,20
setb4xxx,13.539444999999997,19.556496965885163,+,1.9073486328125e-06,0.0,20
setb4xy,13.33456,19.748900735378264,+,1.9073486328125e-06,0.0,20
setb4xyz,11.913809999999998,19.7219402551651,+,1.9073486328125e-06,0.0,20
